key,dialect,domain,gender,divergence_score,wer_percentage,cer_percentage,standard_oov_ratio,original_transcript,normalized_standard_output,wav_path
IISc_RESPIN_mr_D4_70135_441304_M_AGRI_723163_70326268,D4,Agriculture,MALE,78.11,100.0,40.91,83.33,माती परीक्षन कुठ अस कस कराव ?,माती परीक्षन कुठे असते?,D4/70135/IISc_RESPIN_mr_D4_70135_441304_M_AGRI_723163_70326268.wav
IISc_RESPIN_mr_D4_70541_441401_M_BANK_724005_70557963,D4,Banking,MALE,64.74,100.0,18.18,57.14,के.वाय.सी करासाठी कोंते कागद लागन ?,केवायसी करासाठी कोणते कागद लागतील?,D4/70541/IISc_RESPIN_mr_D4_70541_441401_M_BANK_724005_70557963.wav
IISc_RESPIN_mr_D4_70304_441306_F_BANK_724242_70336453,D4,Banking,FEMALE,63.93,75.0,40.0,72.73,मले माया बईनीले मोबाईल भेट द्यासाठी ऑनलाईन पैसे कसे देता येईन ?,मला मोबाईल मिळवण्यासाठी ऑनलाईन पैसे कसे देता येतील?,D4/70304/IISc_RESPIN_mr_D4_70304_441306_F_BANK_724242_70336453.wav
IISc_RESPIN_mr_D4_70135_441304_M_BANK_723762_70326282,D4,Banking,MALE,59.72,71.43,20.51,85.71,खातं काढताना मले किती पैसा भरा लागन ?,खाते काढताना मला किती पैसे भरावे लागतील?,D4/70135/IISc_RESPIN_mr_D4_70135_441304_M_BANK_723762_70326282.wav
IISc_RESPIN_mr_D4_70459_441401_M_BANK_723766_70576032,D4,Banking,MALE,59.24,75.0,29.41,66.67,क्रेडिट कार्ड घ्यासाठी मले कोनचा अर्ज भरनं सोप राहीन ?,क्रेडिट कार्ड घेण्यासाठी मला कोणता अर्ज भरावा लागेल?,D4/70459/IISc_RESPIN_mr_D4_70459_441401_M_BANK_723766_70576032.wav
IISc_RESPIN_mr_D4_70236_441111_M_AGRI_723571_70472968,D4,Agriculture,MALE,57.48,71.43,11.54,87.5,कास्तकार मोबाईल वरून शेतीचं मार्गदर्शन कस भेटवू शकते ?,कास्तकार मोबाईलवरून शेतीचे मार्गदर्शन कसे मिळवू शकते?,D4/70236/IISc_RESPIN_mr_D4_70236_441111_M_AGRI_723571_70472968.wav
IISc_RESPIN_mr_D4_70172_441304_F_AGRI_723338_70380684,D4,Agriculture,FEMALE,55.45,62.5,28.57,75.0,शेती ड्रीचींगनं कराची रायल्यास कायचा वापर करा लागीन ?,"शेती ड्रीचींगने करायची आहे, कायचा वापर करावा लागेल?",D4/70172/IISc_RESPIN_mr_D4_70172_441304_F_AGRI_723338_70380684.wav
IISc_RESPIN_mr_D4_70624_441111_F_BANK_724267_70586180,D4,Banking,FEMALE,55.14,60.0,38.24,66.67,कर्ज घ्याचे टायमाले साक्षीदार लागन का ?,कर्ज घेण्यासाठी साक्षीदार लागेल का?,D4/70624/IISc_RESPIN_mr_D4_70624_441111_F_BANK_724267_70586180.wav
IISc_RESPIN_mr_D4_70212_441304_M_BANK_723893_70388695,D4,Banking,MALE,54.44,57.14,24.32,85.71,कर्ज घेतल्यावर मले ते कस फेडा लागन ?,कर्ज घेतल्यावर मला ते कसे फेडायचे आहे?,D4/70212/IISc_RESPIN_mr_D4_70212_441304_M_BANK_723893_70388695.wav
IISc_RESPIN_mr_D4_70624_441111_F_BANK_723730_70584307,D4,Banking,FEMALE,53.33,66.67,22.22,66.67,दसऱ्यासाठी मले कितीक रुपये कर्ज भेटन ?,दशऱ्यासाठी मला किती रुपये कर्ज मिळेल?,D4/70624/IISc_RESPIN_mr_D4_70624_441111_F_BANK_723730_70584307.wav
IISc_RESPIN_mr_D4_70202_440030_M_BANK_724266_70333044,D4,Banking,MALE,53.18,60.0,20.59,80.0,कर्ज काढासाठी कोंते कागद लागन ?,कर्ज काढण्यासाठी कोणते कागद लागतील?,D4/70202/IISc_RESPIN_mr_D4_70202_440030_M_BANK_724266_70333044.wav
IISc_RESPIN_mr_D4_70172_441304_F_AGRI_723293_70381005,D4,Agriculture,FEMALE,52.24,50.0,15.79,100.0,सकाळी धुकं कायनं होतं ?,सकाळी धुकं काय होते?,D4/70172/IISc_RESPIN_mr_D4_70172_441304_F_AGRI_723293_70381005.wav
IISc_RESPIN_mr_D4_70135_441304_M_BANK_723626_70326159,D4,Banking,MALE,52.0,60.0,16.67,80.0,पैसे गुंतवन्यासाठी कोनचे कागद लागन ?,पैसे गुंतवण्यासाठी कोणते कागद लागतील?,D4/70135/IISc_RESPIN_mr_D4_70135_441304_M_BANK_723626_70326159.wav
IISc_RESPIN_mr_D4_70245_441304_M_BANK_723649_70328220,D4,Banking,MALE,50.16,66.67,25.53,50.0,मले आज दिवसभरात यू.पी.आय वर आलेले पैसे कसे पायता येईन ?,मला आज दिवसभरात यूपीआय वर आलेले पैसे कसे मिळतील?,D4/70245/IISc_RESPIN_mr_D4_70245_441304_M_BANK_723649_70328220.wav
IISc_RESPIN_mr_D4_70135_441304_M_BANK_723698_70326176,D4,Banking,MALE,49.29,50.0,14.29,90.0,"मले तीन लाख गुंतवाचे हाय , ते मले कसे गुंतवता येईन ?","मला तीन लाख गुंतवायचे आहे, ते मला कसे गुंतवता येईल?",D4/70135/IISc_RESPIN_mr_D4_70135_441304_M_BANK_723698_70326176.wav
IISc_RESPIN_mr_D4_70255_440030_M_BANK_723845_70328689,D4,Banking,MALE,48.68,66.67,20.59,50.0,बचत खात खोला साठी आधार कार्ड लागनच का ?,बचत खात्यासाठी आधार कार्ड लागेल का?,D4/70255/IISc_RESPIN_mr_D4_70255_440030_M_BANK_723845_70328689.wav
IISc_RESPIN_mr_D4_70157_440034_M_BANK_723716_70387505,D4,Banking,MALE,48.05,42.86,24.44,85.71,सामाजिक मदत भेटासाठी कोनची पात्रता जरुरी हाय ?,सामाजिक मदत भेटासाठी कोणती पात्रता आवश्यक आहे?,D4/70157/IISc_RESPIN_mr_D4_70157_440034_M_BANK_723716_70387505.wav
IISc_RESPIN_mr_D4_70532_441302_M_BANK_723849_70476822,D4,Banking,MALE,47.74,57.14,13.89,71.43,माय बचत खातं कितीक दिवसात उघडता येईन ?,माझे बचत खाते किती दिवसात उघडता येईल?,D4/70532/IISc_RESPIN_mr_D4_70532_441302_M_BANK_723849_70476822.wav
IISc_RESPIN_mr_D4_70178_441401_F_AGRI_723131_70360624,D4,Agriculture,FEMALE,46.36,44.44,13.79,88.89,दुभत्या जनावराच्या खरेदीसाठी अर्ज कराचा असन त कुठ कराव ?,"दुभत्या जनावराच्या खरेदीसाठी अर्ज करावा लागेल, त कुठे करावे?",D4/70178/IISc_RESPIN_mr_D4_70178_441401_F_AGRI_723131_70360624.wav
IISc_RESPIN_mr_D4_72220_441303_M_AGRI_722964_71079560,D4,Agriculture,MALE,45.7,50.0,7.89,83.33,गव्हाचं पीक काढणीले आल्याचं कस समजाव ?,गव्हाचे पीक काढणीले आल्याचं कसे समजावे?,D4/72220/IISc_RESPIN_mr_D4_72220_441303_M_AGRI_722964_71079560.wav
IISc_RESPIN_mr_D4_70135_441304_M_BANK_723825_70327132,D4,Banking,MALE,44.84,50.0,18.92,66.67,मले बँकेतून कितीक वर्षासाठी कर्ज भेटन ?,मला बँकेतून किती वर्षासाठी कर्ज मिळेल?,D4/70135/IISc_RESPIN_mr_D4_70135_441304_M_BANK_723825_70327132.wav
IISc_RESPIN_mr_D4_70500_NA_F_AGRI_723513_70459959,D4,Agriculture,FEMALE,42.14,42.86,16.67,71.43,सेंद्रीय शेतीतलं पीक चांगल्या दर्जाचं रायते का ?,सेंद्रीय शेतीत पीक चांगल्या दर्जाचे आहे का?,D4/70500/IISc_RESPIN_mr_D4_70500_NA_F_AGRI_723513_70459959.wav
IISc_RESPIN_mr_D4_70212_441304_M_AGRI_722892_70390940,D4,Agriculture,MALE,41.33,33.33,4.44,100.0,उन्हाळी भईमुंगाची पेरनी कोनत्या मईन्यात कराव ?,उन्हाळी भईमुंगाची पेरनी कोणत्या मईन्यात करावी?,D4/70212/IISc_RESPIN_mr_D4_70212_441304_M_AGRI_722892_70390940.wav
IISc_RESPIN_mr_D4_70245_441304_M_BANK_723927_70328329,D4,Banking,MALE,41.23,42.86,13.64,71.43,खातं खोलल्यावर त्यात किती पैसे ठेवा लागन ?,खाते खोलल्यावर त्यात किती पैसे ठेवावे लागतील?,D4/70245/IISc_RESPIN_mr_D4_70245_441304_M_BANK_723927_70328329.wav
IISc_RESPIN_mr_D4_70131_440030_M_AGRI_723356_70388215,D4,Agriculture,MALE,41.16,40.0,10.53,80.0,पराटीवरच्या बोंडअळीसाठी का करा लागन ?,पराटीवरच्या बोंडअळीसाठी का करावे लागेल?,D4/70131/IISc_RESPIN_mr_D4_70131_440030_M_AGRI_723356_70388215.wav
IISc_RESPIN_mr_D4_70178_441401_F_BANK_724233_70332619,D4,Banking,FEMALE,40.52,37.5,16.33,75.0,माया क्रेडिट कार्डची मायती मले मोबाईलवर भेटन का ?,माया क्रेडिट कार्डची माहिती मला मोबाईलवर मिळेल का?,D4/70178/IISc_RESPIN_mr_D4_70178_441401_F_BANK_724233_70332619.wav
IISc_RESPIN_mr_D4_70245_441304_M_AGRI_723186_70340804,D4,Agriculture,MALE,40.36,37.5,15.79,75.0,मोसंबीले परकारं न पानी देनं ठीक हाये का ?,मोसंबीले परकारं न पाणी देणे ठीक आहे का?,D4/70245/IISc_RESPIN_mr_D4_70245_441304_M_AGRI_723186_70340804.wav
IISc_RESPIN_mr_D4_70135_441304_M_BANK_723822_70326006,D4,Banking,MALE,40.25,50.0,17.5,50.0,मले बँकेतून किती रुपयापर्यंत कर्ज भेटन ?,मला बँकेतून किती रुपयांपर्यंत कर्ज मिळेल?,D4/70135/IISc_RESPIN_mr_D4_70135_441304_M_BANK_723822_70326006.wav
IISc_RESPIN_mr_D4_72220_441303_M_AGRI_722966_71105151,D4,Agriculture,MALE,39.74,37.5,13.73,75.0,आता घडीले संत्र्याले बाजारामंदी काय भाव भेटू रायला ?,आता घडीला संत्र्यांना बाजारामंदी काय भाव मिळू रायला?,D4/72220/IISc_RESPIN_mr_D4_72220_441303_M_AGRI_722966_71105151.wav
IISc_RESPIN_mr_D4_70245_441304_M_AGRI_723304_70340789,D4,Agriculture,MALE,39.71,40.0,5.71,80.0,संत्र्याच्या पिकाची साठवन कशी कराव ?,संत्र्याच्या पिकाची साठवण कशी करावी?,D4/70245/IISc_RESPIN_mr_D4_70245_441304_M_AGRI_723304_70340789.wav
IISc_RESPIN_mr_D4_70255_440030_M_BANK_724084_70332133,D4,Banking,MALE,39.53,42.86,15.38,62.5,मले दोन लाख रुपये फिक्समंधी कसे टाकता येईन ?,मला दोन लाख रुपये फिक्समंधी कसे टाकायचे?,D4/70255/IISc_RESPIN_mr_D4_70255_440030_M_BANK_724084_70332133.wav
IISc_RESPIN_mr_D4_70200_440030_F_BANK_724093_70384601,D4,Banking,FEMALE,39.45,42.86,7.69,71.43,विमानाच तिकिट मले ऑनलाईन काढता येईन का ?,विमानाचे तिकिट मला ऑनलाईन काढता येईल का?,D4/70200/IISc_RESPIN_mr_D4_70200_440030_F_BANK_724093_70384601.wav
