id,text_id,dialect,domain,distortion_score,dialect_text,standard_text
3,724412,D4,Agriculture,29.5,मोड आलेल्या गव्हापासून बनवलेल्या अन्नपदार्थांमध्ये गव्हासारखेच पोषणमूल्य देण्यासाठीही याचा अधिक वापर केला जातो,नुकत्याच आलेल्या गव्हापासून बनवलेल्या अन्नपदार्थांमध्ये गव्हासारखेच पोषणमूल्य देण्यासाठीही याचा अधिक वापर केला जातो.
6,724441,D4,Agriculture,28.5,कमी कचरा निर्माण करणारी आणि कचऱ्याच्या जास्तीत जास्त पुनर्वापराला प्रोत्साहन देणारी उत्पादन पद्धत विकसित करा,कमी कचरा निर्माण करणारी आणि कचऱ्याच्या जास्तीत जास्त पुनर्वापराला प्रोत्साहन देणारी उत्पादन पद्धत विकसित करा
9,724336,D4,Banking,27.818,मले शिकायले कर्ज घ्याच असन तर कुठ अर्ज करा लागन त्याची मायती मले कुठी भेटन त्यासाठी ऑनलाईन अर्ज करा लागन का ?,"मला शिक्षणासाठी कर्ज घ्यायचे असेल तर कुठे अर्ज करावा लागेल, त्याची माहिती मला कुठे मिळेल? त्यासाठी ऑनलाईन अर्ज करावा लागेल का?"
12,724522,D4,Banking,27.5,विज्ञान मंत्र्यांनी पात्र शास्त्रज्ञांसाठी संशोधनासाठी निधी उपलब्ध करून देण्यासाठी अनेक योजना सुरू केल्या,विज्ञान मंत्र्यांनी पात्र शास्त्रज्ञांसाठी संशोधनासाठी निधी उपलब्ध करून देण्यासाठी अनेक योजना सुरू केल्या
15,723456,D4,Agriculture,26.0,कास्तकारीच्या कामासाठी जास्तीत जास्त किती एच.पी टॅक्टर वापराले पायजे ?,कास्तकारिच्या कामासाठी जास्तीत जास्त किती एच.पी टॅक्टर वापरले?
18,724363,D4,Agriculture,26.0,मैदा गव्हाच्या पिठापासून तयार केला जातो आणि तो जास्त काळ टिकावा म्हणून प्रिझर्व्हेटिव्ह टाकले जातात,मैदा गव्हाच्या पिठापासून तयार केला जातो आणि तो जास्त काळ टिकवण्यासाठी प्रिझर्व्हेटिव्ह टाकले जातात.
21,724447,D4,Agriculture,25.941,"कृषी माती विज्ञान मातीमध्ये संशोधन करून मातीच्या भौतिक , रासायनिक , जैविक आणि खनिज संघटनाचा अभ्यास करते","कृषी माती विज्ञान मातीमध्ये संशोधन करून मातीच्या भौतिक, रासायनिक, जैविक आणि खनिज संघटनेचा अभ्यास करते"
24,720765,D4,Agriculture,25.5,नेमॅटाइड हा एक प्रकारचा रासायनिक कीटकनाशक आहे जो वनस्पती परजीवी नेमाटोड्स मारण्यासाठी वापरला जातो,नेमॅटाइड हा एक प्रकारचा रासायनिक कीटकनाशक आहे जो वनस्पती परजीवी नेमाटोड्स मारण्यासाठी वापरला जातो
27,724404,D4,Banking,25.5,म्युच्युअल सेव्हिंग्ज बँका स्थानिक किंवा प्रादेशिक सरकारांद्वारे चार्टर्ड केल्या जातात हे तुम्हाला माहीत का ?,म्युच्युअल सेव्हिंग्ज बँका स्थानिक किंवा प्रादेशिक सरकारांद्वारे चार्टर्ड केल्या जातात हे तुम्हाला माहीत का?
30,724379,D4,Agriculture,25.429,"कृषी शास्त्रामध्ये कृषी पिकांच्या उत्पादनात , प्रक्रिया करताना होणाऱ्या भौतिक प्रक्रियांचा अभ्यास समावेश असते",कृषी शास्त्रामध्ये कृषी पिकांच्या उत्पादनात प्रक्रिया करताना होणाऱ्या भौतिक प्रक्रियांचा अभ्यास समावेश असतो.
33,718943,D4,Banking,25.423,कॉर्पोरेट फायनान्सचे प्राथमिक उद्दिष्ट शेअरधारकांचे मूल्य जास्तीत जास्त वाढवणे किंवा वाढवणे हे आहे,कॉर्पोरेट फायनान्सचे प्राथमिक उद्दिष्ट शेअरधारकांचे मूल्य जास्तीत जास्त वाढवणे हे आहे
