dialect_text,standard_text,dialect
"म्हाजी शेतात सोयाबीन पिकवले म्हाले, काय लाभ भेटत हाय?","माझ्या शेतात सोयाबीन पिकवले आहे, काय लाभ मिळत आहे?",D4
"हाय शेतात तुरीच्या पिकावर उष्णता लागली हाय, काय वाचनीय साधन करवतत?","आहे शेतात तुरीच्या पिकावर उष्णता आली आहे, काय वाचनीय साधन करून घेतात?",D4
"म्हाजी फळभाजूंची पिक लागली हाय, काय काळजी पायजे?","माझ्या फळभाजूंची पिक लागली आहे, काय काळजी पाहिजे?",D4
कायले शेतात क्रियाशील पाणी पुरवठा होत हाय?,कशामुळे शेतात क्रियाशील पाणी पुरवठा होत आहे?,D4
"हाय शेतावर कीड लागला हाय, काय क्रियाशील प्रतिकार करवतत?","आहे शेतावर कीड लागला आहे, काय क्रियाशील प्रतिकार करून घेतात?",D4
म्हाजी शेतात सोयाबीनला काय भाव भेटत हाय?,माझ्या शेतात सोयाबीनला काय भाव मिळत आहे?,D4
म्हाजी शेतात फळभाजूंची पिक कशा केली हाय?,माझ्या शेतात फळभाजूंची पिक कशी केली आहे?,D4
काय भाव भेटत हाय शेतात सोयाबीनले?,काय भाव मिळत आहे शेतात सोयाबीनला?,D4
हाय शेतात पाणी सारखे काय कार्यक्षमता दाखवली हाय?,आहे शेतात पाणी सारखे काय कार्यक्षमता दाखवली आहे?,D4
"म्हाजी शेतात फळभाजूंची पिकाची कापणी झाली हाय, काय व्यवस्था करवतत?","माझ्या शेतात फळभाजूंची पिकाची कापणी झाली आहे, काय व्यवस्था करून घेतात?",D4
"म्हाजी शेतात फव्वारा घातले हाय, पाणी सांडले काय पायजे?","माझ्या शेतात फव्वारा घातला आहे, पाणी सांडले पाहिजे?",D4
तुमाले पिकांना शेतात कोणत्या पीक सिंचनाचा वापर करतात हाय?,तुम्हाला पिकांना शेतात कोणत्या पीक सिंचनाचा वापर केला जातो हे काय आहे?,D4
"म्हाले हायवरी कीटनाशक फवारले हाय, कोणत्या त्याची काळजी घ्यावी पायजे?","मला हायवरी कीटनाशक फवारला आहे, कोणत्याची त्याची काळजी घ्यावी पाहिजी?",D4
"शेतात वाळूचे पीक काय भाव भेटत हाय, बाजारात काय मागणी असते हाय?","शेतात वाळूचे पीक काय भाव मिळत आहे, बाजारात काय मागणी असते?",D4
"म्हाजी पिकाला पाण्याची किती शेंडी प्रति एकर लागते हाय, सिंचाई व्यवस्था कशी असते हाय?","माझ्या पिकाला पाण्याची किती शेंडी प्रति एकर लागते आहे, सिंचाई व्यवस्था कशी असते?",D4
"तुमाले शेतात कोणत्या प्रकारच्या मातीचे पुरवठा करतात हाय, शेतकरी कोणत्या प्रकारची माती घेतात हाय?","तुम्हाला शेतात कोणत्या प्रकारच्या मातीचे पुरवठा केले जातात हे काय आहे?, शेतकरी कोणत्या प्रकारची माती घेतात हे काय आहे?",D4
म्हाले शेतात कोणत्या प्रकारच्या शेतमालाची काळजी घ्यावी पायजे?,मला शेतात कोणत्या प्रकारच्या शेतमालाची काळजी घ्यावी पाहिजी?,D4
"शेतात फव्वारा घातले हाय, पाण्याची किती शेंडी प्रति एकर लागते हाय?","शेतात फव्वारा घातला आहे, पाण्याची किती शेंडी प्रति एकर लागते आहे?",D4
म्हाजी बागेत कोणत्या रोगाची काळजी घ्यावी पायजे?,माझ्या बागेत कोणत्या रोगाची काळजी घ्यावी पाहिजी?,D4
"तुमाले शेतात कोणत्या प्रकारच्या बियांचे पुरवठा करतात हाय, फायदा काय होतो हाय?","तुम्हाला शेतात कोणत्या प्रकारच्या बियांचे पुरवठा केले जातात हे काय आहे?, फायदा काय होतो हे काय आहे?",D4
"कायले म्हाजी शेतात जाड पानाले झाड घेतले हाय, पालवी काय प्रकारची प्लास्टिक दोन हाय?","कशामुळे माझ्या शेतात जाड पानाले झाड घेतले जात आहे, पालवी किती प्रकारची प्लास्टिक देतात?",D4
"म्हाजी शेतात शेतकऱ्यांना जेवण देण्यात पोरगा मदत करते हाय, तुमाले काय भावाने कच्च्या भाताच्या लोणचे म्हातले हाय?","माझ्या शेतात शेतकऱ्यांना जेवण देण्यात मुलगा मदत करतो आहे, तुम्हाला किती भावाने कच्च्या भाताचे लोणचे मिळते?",D4
"म्हाजी शेतात मळणी करवतत हाय, पिकेचे मळणी करता तुमाले किती पैसे मिळत हाय?","माझ्या शेतात मळणी करून घेतात आहे, पिकेचे मळणी करता तुम्हाला किती पैसे मिळतात?",D4
"म्हाजी शेतात सिंचनाची प्रणाली म्हाले म्हणजे फिरती पंपची हाय, तुमाले काय प्रकारचा पाणी पुरवठा करते हाय?","माझ्या शेतात सिंचनाची प्रणाली माझी म्हणजे फिरती पंपची आहे, तुम्हाला काय प्रकारचा पाणी पुरवठा करता आहे?",D4
"म्हाजी शेतात विजेचे मोटर तुमाले काय भावाने देते हाय, म्हाले काय फायदा होतो हाय?","माझ्या शेतात विजेचे मोटर तुम्हाला किती भावाने देतात आहे, माझ्यावर काय फायदा होतो आहे?",D4
"म्हाजी शेतात कीड लागली हाय, काय औषध फवारले पायजे हाय?","माझ्या शेतात कीड लागली आहे, काय औषध फवारले पाहिजे?",D4
"म्हाजी शेतात शेतकऱ्यांना रोजगार देण्यात पोरगा मदत करते हाय, तुमाले काय वेतनाने शेतकऱ्यांना रोजगार देते हाय?","माझ्या शेतात शेतकऱ्यांना रोजगार देण्यात मुलगा मदत करतो आहे, तुम्हाला काय वेतनाने शेतकऱ्यांना रोजगार देता आहे?",D4
"म्हाजी शेतात मळणी करवतत हाय, पिकेचे मळणी करता तुमाले काय ग्रामीण उद्योग सुरू करू शकते हाय?","माझ्या शेतात मळणी करून घेतात आहे, पिकेचे मळणी करता तुम्हाला काय ग्रामीण उद्योग सुरू करू शकतात?",D4
"म्हाजी शेतात भाताची पिका घेतली हाय, म्हाले काय भावाने भाताची पिका मिळत हाय?","माझ्या शेतात भाताची पिका घेतली आहे, माझ्यावर काय भावाने भाताची पिका मिळत आहे?",D4
"म्हाजी शेतात सोनेरी कांदे लागले हाय, काय किती पैसे मिळत हाय?","माझ्या शेतात सोनेरी कांदे लागले आहेत, काय किती पैसे मिळतात?",D4
पोरगा शेतात उंबरठ्यावर तुरीची पिक कशी लावतो हाय?,मुलगा शेतात उंबरठ्यावर तुरीची पिक कशी लावतो?,D4
म्हाले शेतात कीडनाशक फवारून काय पायजे?,मला शेतात कीडनाशक फवारून काय पाहिजे?,D4
हाय म्हाजी शेतात जिरेवरी लागली आहे काय कशामुळे?,आहे माझ्या शेतात जिरेवरी लागली आहे काय कशामुळे?,D4
म्हाजी शेतात फळांची पिक काय काळजी घ्यावी पायजे?,माझ्या शेतात फळांची पिक काय काळजी घ्यावी पाहिजे?,D4
हाय शेतात दुष्काळ आला आहे काय पायजे?,आहे शेतात दुष्काळ आला आहे काय पाहिजे?,D4
म्हाजी शेतात पाण्याचा साठा कशी केला पायजे?,माझ्या शेतात पाण्याचा साठा कशी केला पाहिजे?,D4
म्हाले शेतात मळ कशी मुरून घ्यावी हाय?,मला शेतात मळ कशी मुरून घ्यावी?,D4
कायले म्हाजी शेतात जाड पाऊस आला आहे?,कशामुळे माझ्या शेतात जाड पाऊस आला आहे?,D4
म्हाजी शेतात बियाणे लावतांना काय काळजी घ्यावी पायजे?,माझ्या शेतात बियाणे लावतांना काय काळजी घ्यावी पाहिजे?,D4
म्हाजी शेतात पाला कोंबडे फार चावून घेत हाय.,माझ्या शेतात पाला कोंबडे फार चावून घेत आहेत.,D4
हाय तुमाले काय म्हणत होते की जाडपाणी आल्यावर माझी बागायत कशी भावत हाय?,तुम्हाले काय म्हणत होते की जाडपाणी आल्यावर माझी बागायत कशी भावते?,D4
हाय तुमाले शेतात जैविक कृषी पध्दती शिकवू काय पायजे?,तुम्हाले शेतात जैविक कृषी पध्दती शिकवू पाहिजे काय?,D4
पोरगा फार चिंतित आहे की ताज्या पावसाच्या नंतर माझी बागायत कशी भावत हाय?,मुलगा फार चिंतित आहे की ताज्या पावसाच्या नंतर माझी बागायत कशी भावते?,D4
म्हाजी बागायतीतील पिकाला काय औषध फवारले पायजे कायले कीड लागली हाय?,माझ्या बागायतीतील पिकाला काय औषध फवारले पाहिजे कशामुळे कीड लागली आहे?,D4
"हाय तुमाले बागायतीची कापणी कशा करतात हाय, म्हाजी बागायतीची कापणी हाय.",तुम्हाले बागायतीची कापणी कशा करतात आहे? माझ्या बागायतीची कापणी आहे.,D4
"म्हाले शेतात जास्त किड-पतंगी आहे हाय, बागायतीची काळजी म्हाले पाहिजे पायजे?",मला शेतात जास्त किड-पतंगी आहे आहे. बागायतीची काळजी मला पाहिजे काय?,D4
"पोरग्याचे पिक म्हाजी शेतात बियाणे पेरले हाय, किती दिवसांनी हिरवणी घेतले पायजे?","मुलाचे पिक माझ्या शेतात बियाणे पेरले आहे, किती दिवसांनी हिरवणी घेतली पाहिजे?",D4
