dialect_text,standard_text,dialect
वरसून शेंजातील पीक व्यवसायासाठी कोणती शेतकऱ्यांची सक्रियता आस?,वरसून शेंजातील पीक व्यवसायासाठी कोणती शेतकऱ्यांची सक्रियता आहे?,D1
"माका शेतात गवताच्या पिकात किती टन कमविता, खय एकरी किती रुपये कमविता","माका शेतात गवताच्या पिकात किती टन कमविता, एकरी किती रुपये कमविता?",D1
"माका शेतात मावशी नांदी पिकावर किती पातळी आसा, खय नांदी पिक म्हाय ची असता","माका शेतात मावशी नांदी पिकावर किती पातळी आहे, खय नांदी पिक म्हाय ची असता?",D1
"किती वरसून माका शेतात मोठ्या प्रगतीचा आसा, खय माहिती ना","किती वरसून माका शेतात मोठ्या प्रगतीचा आसा, कुठे माहिती ना?",D1
"माका शेतात कोळंबी नांदी पिकावर किती पैसे खर्च होत, खय नांदी पिक म्हाय ची","माका शेतात कोळंबी नांदी पिकावर किती पैसे खर्च होते, खय नांदी पिक म्हाय ची?",D1
"खय शेतात कोणते खत वापरायचे आसा, माका माहिती ना","खय शेतात कोणते खत वापरायचे आसा, मला माहिती नाही",D1
"माका शेतात दुधाच्या पिकात किती पटी आसा, खय दुधाची किती पटी मिळती","माका शेतात दुधाच्या पिकात किती पटी आहे, खय दुधाची किती पटी मिळती?",D1
"माका जाड पिकाला किती दिवसांनी पाणी द्यावे असा योग नाही, खबर ना कायमची तयारी करावी.","माका जाड पिकाला किती दिवसांनी पाणी द्यावे असा योग नाही, कायमची तयारी किती दिवसांनी करावी?",D1
"खय शेतात कोणत्या पिकासाठी जैविक खताची गरज आसा, माका माहिती ना",कुठे शेतात कोणत्या पिकासाठी जैविक खताची गरज आहे का ही मला माहिती नाही?,D1
"माका पिकासाठी किती रुपये खर्च होणार असा योग नाही, खबर ना रोखी करावी.","माका पिकासाठी किती रुपये खर्च होणार असा योग नाही, किती रुपये खर्च होणार हे माहिती नाही.",D1
माका शेतात कोणती पिका वरसून वाढतील आसा म्हाय,माका शेतात कोणती पिका वरसून वाढतील आसा म्हण?,D1
किसानांना काय पिका वगळता म्हाय वरसून माहिती गावता तुका,किसानांना काय पिका वगळता म्हणून वरसून माहिती गावता तुका?,D1
वाढीसाठी कित्येक किंमती फळी द्यावी तुका माहिती,वाढीसाठी किती किंमती फळी द्यावीत हे तुका माहिती,D1
"माका शेतात चवळी पिकाला गोबरखत दिलासा, खय योग्य वेळी द्यावयची आसा म्हाय","माका शेतात चवळीच्या पिकाला गोबरखत दिलासे, खय योग्य वेळी द्यावयाची आहे नाही?",D1
माका खताची योग्य प्रमाणात वापर कशा करावा आसा,माका खताची योग्य प्रमाणात वापर कशा करावा आहे?,D1
माका खताची वापर करुन पिकाची वाढ कशी होईल आसा,माका खताची वापर करुन पिकाची वाढ कशी होईल आहे,D1
शेतात उर्जा बचतीसाठी काय विकल्प म्हाय आसा,शेतात उर्जा बचतीसाठी काय विकल्प आहे?,D1
वाढीसाठी कित्येक प्रकारची फळी तुका माहिती,वाढीसाठी किती प्रकारची फळी द्यावीत त्याबद्दल माहिती?,D1
माका बागेत भाताच्या पिकावर पाणी किती द्यावा तुका,माका बागेत भाताच्या पिकावर पाणी किती द्यावे तुका?,D1
माका खताच्या भांड्यातील पाणी भरून द्या,किती खताच्या भांड्यातील पाणी भरून द्या?,D1
म्हाय आम्ही 5 लाख रुपयांचा EMI निवडला आहे; तुका EMI मध्ये बदलायचे आसता,का आम्ही 5 लाख रुपयांचा EMI निवडला आहे; तुका EMI मध्ये बदलायचे आसता?,D1
आसा आम्ही पेंशनचे फंड वाढवून तुका रकमा जमा करू शकतू,आहे आम्ही पेंशनचे फंड वाढवून तुला रकमा जमा करू शकतो का?,D1
वरसून काही साहित्याचे फॉर्म काढू शकतू,वरून काय साहित्याचे फॉर्म काढू शकतो?,D1
माका बँक खात्यात जाहिराती खाते तयार करूचे आसात.,मला बँक खात्यात जाहिराती खाते तयार करायची आहेत?,D1
माका माझ्या खात्याला व्याजाने मुक्त (Zero Balance) सुविधा मिळवूचे आसात.,माझ्या खात्याला व्याजाने मुक्त (Zero Balance) सुविधा मिळवू शकतात का?,D1
"कोणत्या खताच्या मिसळण्यामुळे माका शेतात फायदा आसा, खय माहिती ना",कोणत्या खताच्या मिसळण्यामुळे मला शेतात फायदा आहे का? खय माहिती नाही,D1
"माका क्रेडिट स्कोरची खबर ना पण अर्जा करूचे आसात, खय पाहू शकतू.","माका क्रेडिट स्कोरची खबर ना पण अर्जा करूचे आसात, खय पाहू शकतू?",D1
"माझ्या खात्यात कायमवर किती पैसे जमा राहूचे आसात, खय नोंदणी आहे","माझ्या खात्यात कायमवर किती पैसे जमा राहातात, खात्याची नोंदणी कुठे आहे?",D1
अर्ज करून बँकमधले खाते कसे खुलवूया असा माका तुका कळत नाही.,अर्ज करून बँकमधले खाते कसे खुलवावे हे मला तुला कळत नाही?,D1
"आम्हाला KYC पूर्ण करण्याची आवश्यकता आहे, खय कुठे फॉर्म भरून द्यायचे","आम्हाला KYC पूर्ण करण्याची आवश्यकता आहे, खय कुठे फॉर्म भरून द्यायचे?",D1
"चेडवा बँक खात्यात ब्रोकरेज अकाउंट कशा लागल्या असतो, म्हाय जास्त टीडीएस द्यावा लागत ना","चेडवा बँक खात्यात ब्रोकरेज अकाउंट कशा लागतात, मला जास्त टीडीएस द्यावा लागत ना?",D1
माका बँक खात्यात पैसे जमा करूचे आसात आणि पैसे काढूचे आसता,मला बँक खात्यात पैसे जमा करायचे आहे आणि पैसे काढायचे आहे?,D1
"माका बँक खात्यात पैसे जमा करूचे आसात, खबर ना पैसे काढूचे आसता",माका बँक खात्यात पैसे जमा करायचे आहेत का? खबर नाही पैसे काढायचे आहेत का?,D1
म्हाय बागेत कांद्याचे पिकावर कीड पडली आसा,नाही बागेत कांद्याचे पिकावर कीड पडली आहे?,D1
माका नेटबँकिंग असून क्रेडिट कार्डमध्ये पैसे ट्रान्सॅक्शन करूचे आसात,माका नेटबँकिंग असून क्रेडिट कार्डमध्ये पैसे ट्रान्सॅक्शन करूचे आसात का?,D1
"केवळ डेबिट कार्ड वरसून पैसे काढता आहे, म्हाय ना","केवळ डेबिट कार्डवरून पैसे काढतो आहे, म्हणून नाही?",D1
माका शेतात कोणत्या पिकांच्या पातळ्या वरसून वाढतील आसा म्हाय,माका शेतात कोणत्या पिकांच्या पातळ्या वरसून वाढतील असा म्हण,D1
क्रेडिट कार्डवर खय रुपये खर्च करूका शकतू आम्ही,क्रेडिट कार्डवर कुठे रुपये खर्च करू शकतो आम्ही?,D1
"केवळ डेबिट कार्ड वरसून पैसे काढता आहे, म्हाय ना","केवळ डेबिट कार्डवरून पैसे काढतो आहे, म्हणून नाही?",D1
क्रेडिट कार्डवर खय रुपये खर्च करूका शकतू आम्ही,क्रेडिट कार्डवर कुठे रुपये खर्च करू शकतो आम्ही?,D1
"आमची बँक खाती शून्य वरती असते, तुका अर्थात आम्ही वाईट कर्जात गेलेलो नाही.","आमची बँक खाती शून्य वरती आहे, त्यामुळे आम्ही वाईट कर्जात गेलेलो नाही?",D1
क्रेडिट कार्डमध्ये माका पैसे ट्रान्सॅक्शन करूचे आसात,क्रेडिट कार्डमध्ये मला पैसे ट्रान्सॅक्शन करायचे आहेत?,D1
माहिती ना म्हाय बँक खात्यात पैसे जमा करा आणि क्रेडिट कार्ड द्वारे खरेदी केलेले गुंतवणूक आहेत.,माहिती नाही का बँक खात्यात पैसे जमा करा आणि क्रेडिट कार्डद्वारे खरेदी केलेले गुंतवणुकीचे आहेत?,D1
"अर्ज करूका लागन खय मी UPI पेमेंट केलेले रक्कम शोधता आले का,","अर्ज करावा लागेल का मी UPI पेमेंट केलेले रक्कम शोधता आले का,",D1
"आपल्या बँक खात्यात EMI बकायाची यादी कशी पाहिली जाती,",आपल्या बँक खात्यात EMI बकायाची यादी कशी पाहिली जाती?,D1
ग्रामपंचायतीत नागरीक शाळा रजिस्टर कराव्या लागनासाठी माका प्रतिक्रिया लागन,ग्रामपंचायतीत नागरीक शाळा रजिस्टर कराव्या लागनासाठी मला प्रतिक्रिया लागेल?,D1
"गरजपुरात पाण्याची वितरण प्रक्रिया वरसून कसे आहे, माका प्रत्यक्ष दाखवा","गरजपुरात पाण्याची वितरण प्रक्रिया वरसून कसे आहे, मला प्रत्यक्ष दाखवा?",D1
जसा कार्डवरसून पैसे काढता आम्ही त्याचा ट्रान्सॅक्शन लॉग म्हाय चालू नाही.,जसा कार्डवरून पैसे काढतो आम्ही त्याचा ट्रान्सॅक्शन लॉग म्हणून चालू नाही का?,D1
"ग्रामपंचायतीत नागरिक सेवा केंद्रासाठी खय जाणे, माका यात काही सेवा वगळूना येतात!","ग्रामपंचायतीत नागरिक सेवा केंद्रासाठी कुठे जावे, मला यात काही सेवा वगळल्या जातात?!",D1
राज्य शासनाच्या दुग्धव्यवसाय विकास योजनेअंतर्गत माझ्या गावच्या दुधाची किमती मिळवण्याची आसा,राज्य शासनाच्या दुग्धव्यवसाय विकास योजनेअंतर्गत माझ्या गावच्या दुधाची किमती काय?,D1
ग्रामपंचायतीत स्वच्छता अभियानाच्या अंतर्गत स्वच्छता कार्यकर्त्यांची नियुक्ती होण्याची आसा,ग्रामपंचायतीत स्वच्छता अभियानाच्या अंतर्गत स्वच्छता कार्यकर्त्यांची नियुक्ती होणार आहे का?,D1
"आमचे KYC पूर्ण झाले आहे, तुका आम्ही यासाठी बँकेत जाण्याची भीती नाही.","आमचे KYC पूर्ण झाले आहे, त्यामुळे आम्ही यासाठी बँकेत जाण्याची भीती नाही का?",D1
"वरसून ग्रामपंचायतीच्या मंडळात माझे नावचो असात, परंतु म्हाय तुका काही कामे करत नाही","वरून ग्रामपंचायतीच्या मंडळात माझे नाव आहे, परंतु तुला काय कामे करत नाही?",D1
माका तुकाला ग्रामपंचायतीत वीज पुरवठा निर्माण होण्याची खबर ना आसा,माका तुकाला ग्रामपंचायतीत वीज पुरवठा निर्माण होण्याची खबर नाही का?,D1
तुका खय ग्रामपंचायतीत नागरिकांचे पत्राची सेवा निर्माण होण्याची खबर ना आसा,तुका खय ग्रामपंचायतीत नागरिकांचे पत्राची सेवा निर्माण होण्याची खबर ना आसा?,D1
"ग्रामपंचायतीत कृषी कर माफी अनुदानासाठी अर्ज करूका लागता, माका मिळेल का","ग्रामपंचायतीत कृषी कर माफी अनुदानासाठी अर्ज करावा लागते, मला मिळेल का?",D1
सांखलित वीज पुरवठा टपालासाठी तुका वेळी विश्रांती वरसून सुरू होतो.,सांखलित वीज पुरवठा टपालासाठी तुला वेळी विश्रांती वरून सुरू होतो?,D1
ग्रामसेवक मागणीच्या आवेदनासाठी खय जाऊन आवेदन करूका लागन,ग्रामसेवक मागणीच्या आवेदनासाठी कुठे जाऊन आवेदन करावे लागेल?,D1
पाणी पुरवठा विभागाच्या शिकायतीसाठी खय जाऊन शिकायत दाखवूका लागन,पाणी पुरवठा विभागाच्या शिकायतीसाठी कुठे जाऊन शिकायत दाखवावी लागेल?,D1
"खबर ना ग्रामपंचायतीने विद्युत शिस्तीची घोषणा केली आहे, वरसून ज्या घरात प्रकाश नाही त्या चेडवा पाहिजे.","माहिती नाही की ग्रामपंचायतीने विद्युत शिस्तीची घोषणा केली आहे, वरसून ज्या घरात प्रकाश नाही त्या चेडवा पाहिजे.",D1
क्रेडिट कार्डने बकाया पैसे म्हय नाही कोणता कोणी मिळेल!,क्रेडिट कार्डने बकाया पैसे म्हणजे कोणता कोणी मिळेल?,D1
ग्रामपंचायतीने नवीन सार्वजनिक शौचालय बांधण्यासाठी ५ लाख रुपयांच्या शिस्तीची घोषणा केली आहे. खय काम सुरू होऊ दे!,"ग्रामपंचायतीने नवीन सार्वजनिक शौचालय बांधण्यासाठी ५ लाख रुपयांच्या शिस्तीची घोषणा केली आहे, खय काम सुरू होऊ दे!",D1
"माका एका प्रोजेक्टच्या कामासाठी पैसे पाहू शकतू, म्हाय अर्जा करूचे आसात.","मला एका प्रोजेक्टच्या कामासाठी पैसे पाहू शकतो, का अर्ज करायचे आहेत?",D1
राष्ट्रीय वाहतूक नियंत्रण प्रत्येकी ५ किमी रॅडारच्या तुका निर्मिती आसा,राष्ट्रीय वाहतूक नियंत्रण प्रत्येकी ५ किमी रॅडारच्या तुका निर्मिती आहे?,D1
नागरिकांच्या वैद्यकीय प्रमाणपत्रासाठी खय खूप लांब लागते.,नागरिकांच्या वैद्यकीय प्रमाणपत्रासाठी कुठे खूप लांब लागते?,D1
नवीन घराची नोंदणी करण्यासाठी नागरिकांनी शाळा प्रमाणपत्र दाखला तुका,नवीन घराची नोंदणी करण्यासाठी नागरिकांनी शाळा प्रमाणपत्र दाखला तुम्हाला?,D1
स्वदेशी बांधकामाची परवानगी मिळवण्यासाठी शिक्षण प्रमाणपत्र दाखला आसा,स्वदेशी बांधकामाची परवानगी मिळवण्यासाठी शिक्षण प्रमाणपत्र दाखला आहे?,D1
खराब रोडवर कायमस्वरूपी दुरुस्ती करण्यासाठी कायमस्वरूपी ठेवणी दाखला वरसून,खराब रोडवर कायमस्वरूपी दुरुस्ती करण्यासाठी कायमस्वरूपी ठेवणी दाखविण्यासाठी वरून?,D1
पोलीस स्टेशनवर घराची नोंदणी करण्यासाठी कुठे जावे तुका,पोलीस स्टेशनवर घराची नोंदणी करण्यासाठी कुठे जावे तुला?,D1
रेशन कार्डासाठी नवीन अर्ज दाखल करण्यासाठी खय केंद्रासा,रेशन कार्डासाठी नवीन अर्ज दाखल करण्यासाठी कुठे केंद्र आहे?,D1
"नागरिकांच्या शिक्षणाची माहिती ना, खय नवीन शाळा खुल्ली का होईल.","नागरिकांच्या शिक्षणाची माहिती नाही, कुठे नवीन शाळा खुल्ली होईल?",D1
"खबर ना ग्रामपंचायतीने नवीन आणि स्वच्छ पाणी वितरण प्रणाली सुरू केली आहे, तुका कोणत्या वाड्यात पाण्याची टंकी आहे?","माहिती नाही की ग्रामपंचायतीने नवीन आणि स्वच्छ पाणी वितरण प्रणाली सुरू केली आहे, तुका कोणत्या वाड्यात पाण्याची टंकी आहे?",D1
नागरिकांच्या माहिती ना असल्यास माका संपर्क करून सेवा पुरवली पाहिजे,नागरिकांची माहिती नाही असल्यास माहिती नाही का असल्यास मला संपर्क करून सेवा पुरवली पाहिजे,D1
नागरिकांच्या माहिती ना असल्यास चेडवा संपर्क करून दाखला द्या,नागरिकांची माहिती नाही असल्यास चेडवा संपर्क करून दाखला द्या?,D1
कुठे प्रशासकांकडून मी कार्यशाळेचे सुरुवातीचे तुका विचारूं दया,कुठे प्रशासकांकडून मी कार्यशाळेचे सुरुवातीचे तुके विचारूं द्या?,D1
"माझ्या गावात क्रेडिट कार्डशिवाय रेशन कार्डासाठी खय अर्ज करूकला पाहिजे, माका जुना कार्ड आहे","माझ्या गावात क्रेडिट कार्डशिवाय रेशन कार्डासाठी खय अर्ज करूकला पाहिजे का?, मला जुना कार्ड आहे",D1
रेशन कार्ड मुळे खय पेंशन मिळणार,रेशन कार्ड मुळे कुठे पेंशन मिळेल?,D1
नागरिक विनंतीवर आधार कार्ड म्हाय जावू शकणार,नागरिक विनंतीवर आधार कार्ड कुठे जाऊ शकतो?,D1
ग्रामपंचायतीत नागरिक विनंतीवर कार्यालयात म्हाय जावू शकणार,ग्रामपंचायतीत नागरिक विनंतीवर कार्यालयात जाऊ शकतो का?,D1
"गावकरी कोणाच्या नावावर नोंदणी केली आहे, माका पाहुण्याचे नाव सांगूका लागन?","गावकरी कोनाच्या नावावर नोंदणी केली आहे, मला पाहुण्याचे नाव सांगितले पाहिजे?",D1
