id,text_id,dialect,domain,distortion_score,dialect_text,standard_text,flaw_reason
2118,720336,D4,Agriculture,17.0,"भारतामध्ये तामिळनाडू , उत्तर प्रदेशमधील फारुखाबाद आणि गाझीपूर जिल्ह्यात चमेलीची लागवड केली जाते","भारतामध्ये तामिळनाडू, उत्तर प्रदेशमधील फारुखाबाद आणि गाझीपूर जिल्ह्यात चमेलीची लागवड केली जाते.",Unresolved: Pass 2: Standard text retains dialect residue: ह्या
1793,713503,D2,Agriculture,18.0,"पेरनीना टाईमले बजारमा बी बियानानी कमी पडाले नको , आशा परतेक जिल्हाना अधिकारीस्ले सरकारना आदेश शेतस","परनीना वेळेनुसार बाजारात वस्तूंच्या किमती कमी पडू देऊ नका, कारण प्रत्येक जिल्ह्याचे अधिकारी सरकारचे आदेश ठेवतात.",Unresolved: Pass 2: ह्या ही दिलेली आहे
1943,715097,D2,Agriculture,17.5,भारतात गांज्याच्या लागवडीला आणि उत्पादनाला इंडिया इंडस्ट्रियल हेम्प असोसिएशन प्रोत्साहन देते,भारतात कांज्याच्या लागवडीला आणि उत्पादनाला इंडिया इंडस्ट्रियल हेम्प असोसिएशन प्रोत्साहन देते,Unresolved: Pass 2: असो ही दिलेली आहे
1967,714404,D2,Agriculture,17.5,भारतमा आशाबी लोके शेतस ज्यास्ले सोच्छताच काय पण पेवानी पाणीना करता सुदीक लढाया लढन्या पडतीस,भारतामध्ये आशाबी लोक ज्यासले सोच्छताच काय पण पाण्याची मिळवण्यासाठी लढायला पडतीस,Unresolved: Pass 2: शेतस ही दिलेली आहे
2910,722122,D4,Agriculture,16.0,इंग्रजांनी भारतात चहाचा वापर वाढवण्यासाठी इंडियन टी असोसिएशनची स्थापना केली,इंग्रजांनी भारतात चहाचा वापर वाढवण्यासाठी इंडियन टी असोसिएशनची स्थापना केली.,Unresolved: Pass 2: Dialect residue: असो
3024,722888,D4,Agriculture,15.818,"अमेरिकेतून फिलिपाईन , चीन , जपान , मलेशियामार्गे भारतात पोहोचले आहे","अमेरिकेतून फिलिपाईन, चीन, जपान, मलेशियामार्गे भारतात पोहोचले आहे.",Unresolved: Pass 2: Dialect residue: मले
4501,709815,D1,Agriculture,14.5,एक मान्सून पारंपारिक रूपात पावसाळ्यात ह्याच बदलांसोबत मोसमी उलटवणारी हवा हा,एक मान्सून पारंपारिक रूपात पावसाळ्यात ह्याच बदलांसोबत मोसमी उलटवणारी हवा आहे,Unresolved: Pass 2: Dialect residue: ह्या
5525,717062,D2,Banking,13.5,माझी बचत म्युच्युअल सेविंग्स बँकेत जमा करणे सुरक्षित आहे का,माझी बचत म्युच्युअल सेविंग्स बँकेत जमा करणे सुरक्षित आहे का,"Unresolved: Pass 2: Hindi leakage: बचत, सेविंग्स"
5882,716007,D2,Agriculture,13.5,मी भारतातल्या बाकीच्या समुद्री खाद्य पदार्थांची यादी तयार केली आहे,मी भारतातील बाकीच्या समुद्री खाद्य पदार्थांची यादी तयार केली आहे,Unresolved: Pass 2: Hindi grammar ending 'ल्या' is not used in Standard Pune Marathi
7494,723906,D4,Banking,12.0,आर.टी.जी.एस करासाठी माय खात असनं जरुरीच हाय का ?,आर.टी.जी.एस. करासाठी ते आवश्यक आहे का?,Unresolved: Pass 2: Standard text retains dialect residue: करास
8262,723981,D4,Banking,11.5,आर.टी.जी.एस करासाठी कोंता फारम भरा लागन ?,आर.टी.जी.एस. करासाठी फॉर्म भरायला लागते का?,Unresolved: Pass 2: करासाठी -> करासाठी
7016,714766,D2,Agriculture,12.5,मना मावसा गावले पान मझारला तंतूसपाईन दोरी आणि चटाया बनाडतस,मावसा गावले पान मझारला तंतूसपाईन दोरी आणि चटाया बनाडतस,Unresolved: Pass 2: Dialect residue: मना
8424,721806,D4,Agriculture,11.5,स्वस्त विदेशी चहाने इंडियन टी असोसिएशनला विचार करायला भाग पाडले आहे,स्वस्त विदेशी चहाने इंडियन टी असोसिएशनाला विचार करायला भाग पाडला आहे,Unresolved: Pass 2: असो असे म्हणता येईल
9631,709824,D1,Banking,11.0,"ऑनलाइन तुका भले चांगले पैशे मिळतील , तुझ्या झिलाचो इलाज पण होऊन जायत","ऑनलाइन तुला चांगले पैशे मिळतील, तुझ्या जिल्ह्यात इलाज होतो.",Unresolved: Pass 2: Dialect residue: 'ह्या'
9915,724201,D4,Banking,10.5,आर.टी.जी.एस करासाठी आय.एफ.एस.सी कोड असनं जरुरीच हाय का ?,आरटीजीएस करासाठी आयएफएससी कोड आवश्यक आहे का?,Unresolved: Pass 2: Standard text retains dialect residue: करास
10519,710566,D1,Banking,10.5,इलेक्ट्रॉनिक ट्रांसफरमुळा मोहन आपल्या झिलाक सहज पैशे पाठव शकता,इलेक्ट्रॉनिक ट्रान्सफरने मोहन आपल्या जिल्ह्यात सहज पैसे पाठवू शकतो.,Unresolved: Pass 2: Dialect residue: ह्या
10541,714340,D2,Agriculture,10.5,पीचनं फय चवले बढाईनं ते शे पन नाना परकारना जीवनसत्वबी त्यानामा शेतस,पीचनं फय चवले बढाईनं ते शेपन नाना परकारना जीवनसत्त्वबी त्यांना शेतात आहेत.,Unresolved: Pass 2: Dialect residue: शेतस
11927,714209,D2,Agriculture,9.5,इंडियन टी असोसिएशन भारतीय चहा उत्पादकसनी यापारी संघटना शे,इंडियन टी असोसिएशन भारतीय चहा उत्पादक संघटना आहे,Unresolved: Pass 2: Dialect residue: असो
12866,717519,D2,Agriculture,9.0,मांसाहारी पक्ष्याचे खाद्य कोणते ?,मांसाहारी पक्ष्याचे खाद्य कोणते?,Unresolved: Pass 2: Dialect word 'पक्ष्याचे' is not in standard Marathi
12643,711364,D1,Agriculture,9.0,उत्पादनाच्या किमतीत वाढ घट खयल्या कारणामुळे होता ?,उत्पादनाच्या किमतीत वाढ-घट कुठे लागल्यामुळे होता?,Unresolved: Pass 2: Standard text retains dialect residue: खयल्या
13257,721194,D4,Banking,8.5,आर्थिक गुन्ह्यात अडकल्याबद्दल मोठी शिक्षा आहे,आर्थिक गुन्ह्यात अडकल्याबद्दल मोठी शिक्षा आहे,Unresolved: Pass 2: Dialect residue: ह्या (should be हा)
13364,717659,D2,Agriculture,8.5,उन्हाळ्यात कोणते पीक चांगले येते ?,उन्हाळ्यात कोणते पीक चांगले येते?,Unresolved: Pass 2: Question syntax lost in standard text (should be '?' at the end)
14789,714635,D2,Agriculture,7.5,कायजी लिदी नै ते मगरलेबी नीमोनीया व्हस,कायजी लिडी ते मलेरिया आणि निमोनिया कसे आहे?,Unresolved: Pass 2: Dialect residue: मले
14992,711338,D1,Agriculture,7.0,कमी पैशात नांगरुक खयचो ट्रॅक्टर गावात ?,कमी पैशात नांगरून ट्रॅक्टर गावात कुठे ?,Unresolved: Pass 2: Dialect word 'खय' not removed
13597,710710,D1,Banking,8.5,झिला तु पंचायतीत जाउन मनरेगा अंतर्गत आपला नाव नोंदव,जिल्ह्यातील पंचायतीत जाण्यासाठी मनरेगा अंतर्गत आपले नाव नोंदवा,Unresolved: Pass 2: Standard text retains dialect residue: ह्या
15266,718269,D2,Banking,7.0,के.वाय.सी कशासाठी वापरतात ?,के.वाय.सी कशासाठी वापरतात?,Unresolved: Pass 2: Dialect (D2) Ahirani not fully corrected. Hindi grammar ending 'साठी' is not typical in Standard Pune Marathi.
15344,717318,D2,Agriculture,7.0,ढगाळ हवामान कोणते असते ?,ढगाळ हवामान कोणते असते?,Unresolved: Pass 2: Lost question syntax
15412,712500,D1,Banking,6.857,यू.पी.आय कोणा कोणा साठी उपयोगाचा आसा ?,यू.पी.आय कोणासाठी उपयोगाचा आहे?,Unresolved: Pass 2: Lost question syntax
15703,707865,D1,Agriculture,6.5,मधाक हृदय आजारांवर उपयोगी मनाला जाता,मधाक हृदय आजारांवर उपयोगी मनाला जाते,Unresolved: Pass 2: Retains dialect residue: मना
16172,714182,D2,Banking,6.389,"रस्ताना कर , पर्यावरण कर ह्या करना परकार शेतंस","रस्ता करा, पर्यावरण करा, ह्याचा विचार शेतांसाठी करा.",Unresolved: Pass 2: Standard text retains dialect residue: ह्या
16244,717485,D2,Agriculture,6.0,शेतीची मशागत कशापद्धतीने करावी ?,शेतीची मशागत कशापद्धतीने करावी?,Unresolved: Pass 2: Question syntax lost in standard text
