id,text_id,dialect,domain,distortion_score,dialect_text,standard_text
14001,720224,D4,Agriculture,7.5,भारतासह जगात शेतीशी संबंधित बरेच व्यवसाय आहेत,भारतासह जगात शेतीशी संबंधित बरेच व्यवसाय आहेत
14002,712349,D1,Banking,8.0,बँकेचो कसो ऑनलाइन बॅलन्स तपासायचो ?,बँकेत ऑनलाइन बॅलन्स कसे तपासायचे?
14003,715759,D2,Banking,8.0,पी.एन.बी आर्थिक मंत्रालयावर भारत सरकारचा ताबा आहे,पी.एन.बी आर्थिक मंत्रालयावर भारत सरकारचा ताबा आहे
14004,721483,D4,Banking,7.5,इक्विटीधारक व्यवसायावर नियंत्रण ठेवू शकतो,इक्विटीधारक व्यवसायावर नियंत्रण ठेवू शकतो
14005,711807,D1,Banking,8.0,बाहेरच्या देशात असलेल्याक पैसे कसे पाठवचे ?,बाहेरच्या देशात असलेल्या लोकांचे पैसे कसे पाठवायचे?
14006,713094,D2,Banking,8.0,रिझर्व बँक भारतीय अर्थव्यवस्थाले काबू मा ठेवस,रिझर्व्ह बँक भारतीय अर्थव्यवस्थेवर नियंत्रण ठेवते
14007,719030,D4,Agriculture,7.5,पुरामुळे हडप्पा संस्कृती नष्ट झाली,पुरामुळे हडप्पा संस्कृती नष्ट झाली
14008,710409,D1,Agriculture,8.0,रजनीगंधाचो वापर सजावटीक आणि अत्तर बनवूक करतत,रजनीगंधाचा वापर सजावटीक आणि अत्तर बनवत आहे
14009,713272,D2,Banking,8.0,अटल पेन्शन योजनामा आठरा ते चाईस वरीसना आतला लोके चालतस,अटल पेन्शन योजनेमध्ये आठरा ते लोक चालत आहेत
14010,723223,D4,Agriculture,7.5,बाजारात माल कसा विकाले पायजे ?,बाजारात माल कसा विकायचा?
14011,708291,D1,Banking,8.0,चेक फसवेगिरी गुन्ह्यांची एक श्रेणी आसा,चेक फसवेगिरी गुन्ह्यांची एक श्रेणी आहे
14012,718430,D2,Banking,8.0,बँक खात्याचे अपडेट मेसेजद्वारे मिळेल का ?,बँक खात्याचे अपडेट मेसेजद्वारे मिळेल का?
14013,723451,D4,Agriculture,7.5,मिरचीवरील चुरडा या रोगाले रामबाण औषध कोनचे ?,मिरचीवरील चुरडा या रोगाचे रामबाण औषध कोणते?
14014,711683,D1,Agriculture,8.0,ऊस वाढताना खयच्या किडींवर नियंत्रण करुक व्हया ?,ऊस वाढताना खयच्या किडींवर नियंत्रण केले का?
14015,718245,D2,Banking,8.0,एन.ई.एफ.टी करण्यासाठी काय करावे लागते ?,एन.ई.एफ.टी करण्यासाठी काय करावे लागते?
14016,723773,D4,Banking,7.5,मले किती रुपयापर्यंत पैसा गुंतवता येईन ?,मला किती रुपयांपर्यंत पैसा गुंतवता येईल?
14017,711463,D1,Agriculture,8.0,गाईच्या दुधात फॅटचा प्रमाण वाढवुक काय करायचा ?,गाईच्या दुधात फॅटचे प्रमाण वाढवण्यासाठी काय करायचे?
14018,718143,D2,Banking,8.0,ई कॉमर्स मध्ये ऑनलाईन पेमेंट प्रक्रिया कशी असते ?,ई-कॉमर्समध्ये ऑनलाईन पेमेंट प्रक्रिया कशी असते?
14019,723166,D4,Agriculture,7.5,भुसभुशीत माती म्हणजे काय रायते ?,भुसभुशीत माती म्हणजे काय?
14020,710547,D1,Banking,8.0,आर.टी.जी.एस एकप्रकारची निधी हस्तांतरण प्रणाली असा,आर.टी.जी.एस एकप्रकारची निधी हस्तांतरण प्रणाली आहे.
14021,718032,D2,Banking,8.0,थकलेल्या कर्ज हफ्त्याला किती दंड आकारणी होईल ?,थकलेल्या कर्ज हफ्त्याला किती दंड आकारणी होईल?
14022,724159,D4,Banking,7.5,क्रेडिट कार्डात कितीक रक्कम असाले पायजे ?,क्रेडिट कार्डावर किती रक्कम असावी?
14023,707565,D1,Banking,8.0,ठेव प्रमाणपत्र डाउनलोड करान घेवा आणि ता जपून ठेवा,ठेव प्रमाणपत्र डाउनलोड करा आणि ते जपून ठेवा
14024,714960,D2,Agriculture,8.0,टरबूज आरोग्यासाठी चांगलं असतं,तरबूज आरोग्यासाठी चांगले असते.
14025,724092,D4,Banking,7.5,मले माया घरचे विज बिल ऑनलाईन भरता येईन का ?,मला घराचे बिल ऑनलाईन भरता येईल का?
14026,708450,D1,Banking,8.0,महसूल जमीन महिती प्रणाली ह्या एक वेब ॲप्लिकेशन आसा,महसूल जमीन माहिती प्रणाली ही एक वेब ॲप्लिकेशन आहे
14027,716753,D2,Banking,8.0,कार विमा कंपनी कारच्या नुकसानीची भरपाई करते,कार विमा कंपनी कारच्या नुकसानीची भरपाई करते
14028,723370,D4,Agriculture,7.5,एका एकराच्या टमाटरात किती खत वापराले पायजे ?,एका व्यक्तीच्या टमाटरात किती खत वापरले?
14029,708435,D1,Agriculture,8.0,भारतात कितीतरी प्रकारचे बोकडांचे जाती आसत,भारतात कितीतरी प्रकारचे बोकडांचे जाती आहेत
14030,713782,D2,Banking,8.0,"व्याज कव्हरेज , कर्ज काढाले मदत करस","व्याज कव्हरेज, कर्ज घेतले आहे, मदत कर."
14031,722996,D4,Agriculture,7.5,हलक्या जमीनीमंदी घ्यायची पिके कोनची ?,हलक्या जमीनमंदीत कोणती पिके घ्यायची?
14032,711314,D1,Agriculture,8.0,सूर्यफूलाक कळे इल्यार मीया कोणती काळजी घेव ?,सूर्यफूलाक कळे इल्यार मीया कोणती काळजी घ्यावी?
14033,713153,D2,Agriculture,8.0,मेनना पतंग आया आनी परागकनेसले खायीसन पोळेसले नष्ट करतस,"पतंग आले आणि परागकनेसले खायले, ज्यामुळे नष्ट करत आहेत."
14034,724028,D4,Banking,7.5,बिम्याचे पैसे हर मईन्याले भरता येते का ?,बिमत्याचे पैसे भरता येतात का?
14035,711739,D1,Agriculture,8.0,हवामान बदलाचो पिकावर खयचो परिणाम होता ?,हवामान बदलाचा पिकांवर परिणाम होता?
14036,713203,D2,Banking,8.0,सरकार लोकेस कडतीन महसूलमईन टॅक्स वसूल करस,सरकार लोकांचे कडेतीन महसूलमधून टॅक्स वसूल करते
14037,723168,D4,Agriculture,7.5,तुरीची लागवड कशी करा लागन ?,तुरीची लागवड कशी करायची?
14038,711137,D1,Agriculture,8.0,रोपाची वाढ बिगीन जाऊच्या खातीर काय करुचा ?,रोपाची वाढ बिगीन झाल्यामुळे काय करावे?
14039,712827,D2,Agriculture,8.0,लब्बरना कारखानासमा लब्बरन्या उपयोगी वस्तू बनाडतस,लब्बरना कारखान्यात लब्बरन्या उपयोगी वस्तू बनवतो
14040,723222,D4,Agriculture,7.5,पीक घरामंदी विकावं की बाजारामंदी ?,पीक विकास करावा की बाजारामंदी?
14041,712260,D1,Banking,8.0,ठेवीचा खाता कोणाच्या नावार खोलूचा ?,ठेवीचा खाता कोणाचा आहे?
14042,713062,D2,Agriculture,8.0,वनीकरण इजिनिअरिंगनी आर्थिक इकासना करता गनच महत्वनी शे,वनीकरण अभियांत्रिकीचे आर्थिक कारण खूप महत्त्वाचे आहे
14043,723144,D4,Agriculture,7.5,इजाइच्या कडकडाटाची बतावनी कोनचे मोबाईल ॲप देईन ?,मी कोणते मोबाईल ॲप देईन?
14044,711548,D1,Agriculture,8.0,स्वस्त नी मस्त अवजारा माका खडे मिळतीत ?,मला स्वस्त आणि चांगले अवजारे कधी मिळतील?
14045,712816,D2,Banking,8.0,भारतमझार परतेक ब्यांकमा इंटरनेटनी सुविधा शे,भारतातील प्रत्येक बँकेत इंटरनेटची सुविधा आहे.
14046,723072,D4,Agriculture,7.5,खरीप हंगामातला दुसरा मइना कोनता ?,खरीप हंगामातील दुसरा कोणता?
14047,706794,D1,Banking,8.0,वित्त क्षेत्रात विविध प्रकारचा भांडवल असता,वित्त क्षेत्रात विविध प्रकारचे भांडवल असते
14048,713919,D2,Agriculture,8.0,ज्या जमीनवर गवत आणि झाडे उगेल शेत त्या कापी टाका,"ज्या जमिनीवर गवत आणि झाडे उगवलेली आहेत, त्या शेतावर ती ठेवा."
14049,724081,D4,Banking,7.5,डेबिट कार्डचा वापर भरनं सोप हाय का ?,डेबिट कार्डचा वापर सोपा आहे का?
14050,710778,D1,Banking,8.0,नवीन चेकबुक देवसाठी आपण नेट बँकिंग वर विनंती करु शकतव,नवीन चेकबुक देवासाठी आपण नेट बँकिंगवर विनंती करू शकता
14051,716391,D2,Agriculture,8.0,मोठी वेलची हा जगातील सर्वात जुना मसाला आहे,मोठी वेलची हा जगातील सर्वात जुना मसाला आहे
14052,723008,D4,Agriculture,7.5,सोल्याच्या पिकाले पानी कस द्याचं ?,सोल्याच्या पिकांचे पाणी कसे द्यावे?
14053,711179,D1,Agriculture,8.0,किसान कार्डखाती अर्ज कश्याप्रकारे करूचो ?,किसान कार्डखातीचा अर्ज कशाप्रकारे करावा?
14054,713991,D2,Banking,8.0,बँक हाई एक पैसा देवानी संस्था शे,बँक आणि एक पैसा संस्था आहे
14055,724020,D4,Banking,7.5,मले माय इलेक्ट्रिक बिल ऑनलाईन कस भरता येईन ?,मला माय इलेक्ट्रिक बिल ऑनलाईन कसे भरता येईन?
