dialect_text,standard_text,dialect
"माका शेतात बाजरी पिकावण्यासाठी किती जागा आसा, खय उपलब्ध असेल का?","मला शेतात बाजरी पिकण्यासाठी किती जागा आहे, कुठे उपलब्ध असेल का?",D1
"तुका खताची खूप गरज आसा, खय किती जागी उपलब्ध असेल?","तुला खताची खूप गरज आहे, कुठे किती जागी उपलब्ध असेल?",D1
"म्हाय माझ्या शेतात गवत पीक नाही, खय काय केले पाहिजे?","नाही माझ्या शेतात गवत पीक नाही, कुठे काय केले पाहिजे?",D1
"चेडवा शेतात गुडला पिकावण्यासाठी खूप पाणी लागत असेल, खय?","मुली शेतात गुडला पिकण्यासाठी खूप पाणी लागत आहे, कुठे?",D1
"तुका शेतात खूप उष्णता आसा, खय काय केले पाहिजे?","तुला शेतात खूप उष्णता आहे, कुठे काय केले पाहिजे?",D1
"माका शेतात धान्याची पिकी नाही, खय काय केले पाहिजे?","मला शेतात धान्याची पिकी नाही, कुठे काय केले पाहिजे?",D1
"काय केले पाहिजे तुका माझ्या शेतात कापूस पीक नाही, खय?","काय केले पाहिजे तुला माझ्या शेतात कापूस पीक नाही, कुठे?",D1
"माका शेतात सूर्य प्रकाशासाठी खूप जागा गरज आसा, खय?","मला शेतात सूर्य प्रकाशासाठी खूप जागा आहे गरज, कुठे?",D1
"तुका शेतात खूप किडे आसा, खय काय केले पाहिजे?","तुला शेतात खूप किडे आहे, कुठे काय केले पाहिजे?",D1
"म्हाय शेतात नांदी पीक नाही, खय काय केले पाहिजे?","नाही शेतात नांदी पीक नाही, कुठे काय केले पाहिजे?",D1
माका शेंजात बटाट्याच्या पिकात फवारा देण्याची किती गरज आसा?,मला शेंजात बटाट्याच्या पिकात फवारा देण्याची किती गरज आहे?,D1
तुका सोयाबीनच्या बागेत कोणता कीटनाशक आस?,तुला सोयाबीनच्या बागेत कोणता कीटनाशक आहे?,D1
वरसून शेतात खताचा वाटा निश्चित करण्यासाठी गेला आसा,वरून शेतात खताचा वाटा निश्चित करण्यासाठी गेला आहे,D1
कोळंबीच्या बागेत कोणत्या प्रजातीतील बियाणे खयचे असेल?,कोळंबीच्या बागेत कोणत्या प्रजातीतील बियाणे कुठले असेल?,D1
माका शेंजात खताचे वितरण कशा प्रकारे आसा?,मला शेंजात खताचे वितरण कशाचे आहे?,D1
कोळस्च्या शेंजात कोणत्या कुटुंबाचे कामकरी आस?,कोळस्च्या शेंजात कोणत्या कुटुंबाचे कामकरी आहेत?,D1
तुका शेतातील पिकांच्या पीक म्हणजे किती आसा,तुला शेतातील पिकांच्या पीक म्हणजे किती आहे?,D1
माका शेंजातील शेतकरी कोणत्या पिकांचे पालन करतात आसा,मला शेंजातील शेतकरी कोणत्या पिकांचे पालन करतात आहेत?,D1
खय शेंजातील पीक व्यवसायाचा उत्पन्न किती आसा,कुठे शेंजातील पीक व्यवसायाचा उत्पन्न किती आहे?,D1
"शेतात पिकावर जिरी पडली आसा, खय जिरीचे उपाय कोणी देता?","शेतात पिकावर जिरी पडली आहे, कुठे जिरीचे उपाय मिळतात?",D1
"माका काळ्या माती वर पिके घेता आसा, खय पिके गेल्याने फायदा कसा होता?","मला काळ्या मातीवर पिके घेतली आहेत, पिके गेल्याने फायदा कसा होतो?",D1
"माका कापूसच्या बागे वर खताची कितकी गरज आसा, खय खताची काय प्रकार आहेत?","मला कापूसच्या बागेवर खताची किती गरज आहे, खताच्या काय प्रकार आहेत?",D1
"खेतात गायी वाढवण्याची आसा आसा, खय गायी वाढवण्यास किती वेळ लागता?","खेतात गायी वाढवण्याची इच्छा आहे, गायी वाढवण्यास किती वेळ लागतो?",D1
"माका सोयाबीनच्या बागे वर किती दिवस पिके काढावी आसा, खय सोयाबीनचे पिके कुठे मिळता?","मला सोयाबीनच्या बागेवर किती दिवस पिके काढावीत, सोयाबीनचे पिके कुठे मिळते?",D1
"माका बागे वर किती लहान पिके घेता आसा, खय लहान पिके कुठे मिळता?","मला बागेवर किती लहान पिके घेतली आहेत, लहान पिके कुठे मिळते?",D1
"माका फळबागे वर किती फायदा आसा, खय फळबागे कुठे आहेत?","मला फळबागेवर किती फायदा आहे, फळबागे कुठे आहेत?",D1
"माका शेतात पिके वाढवण्यास किती लागता, खय किती पैसे मिळता?","मला शेतात पिके वाढवण्यास किती लागते, किती पैसे मिळतात?",D1
"माका बागे वर किती माती घातली आसा, खय माती कुठे आहे?","मला बागेवर किती माती घातली आहे, माती कुठे आहे?",D1
"माका पिके वाढवण्यास किती कष्ट लागता आसा, खय किती काळ कष्ट करावे लागता?","मला पिके वाढवण्यास किती कष्ट लागते, किती काळ कष्ट करावे लागते?",D1
"माका गायीच्या खतातून शेतात काय फायदा आसा, गावात चेडवा कोणी तयार करता?","मला गायीचे खत वापरण्याचे शेतात किती फायदे आहेत, मुली कोणी तयार करतात?",D1
"शेतात पिकवलेल्या पाला किती दिवस टिकता आसा, खय त्याला साठवण्याची तरीके गावता?","शेतात पिकवलेल्या पाल्याचे वर्ष ते वर्ष किती दिवस टिकतात, कुठे त्याला साठवण्याचे तरीके मिळतात?",D1
"माका कांद्याच्या बागेसाठी मी किती क्षेत्रफळ वापरता आसा, खय त्यातून किती प्रोडक्शन होता?","मला कांद्याच्या बागेसाठी किती क्षेत्रफळ वापरतो आहे, कुठे त्यातून किती प्रोडक्शन होते?",D1
"गावातील शेतकरी जेव्हा कोणी कांदा मागितला आसा, तेव्हा तो त्याला किती देता?","गावातील शेतकरी जेव्हा कोणी कांदा मागितला आहे, तेव्हा तो त्याला किती देतो?",D1
"माका स्ट्रॉबेरीच्या पिकासाठी किती पाणी वापरावे आसा, खय त्याच्या विक्रीसाठी काय प्रोग्राम घालावे?","मला स्ट्रॉबेरीच्या पिकासाठी किती पाणी वापरणे आहे, कुठे त्याच्या विक्रीसाठी काय प्रोग्राम मिळतात?",D1
"माका खताचे पातळी किती आसा, खय खताच्या विक्रीसाठी काय पातळी असेल?","मला खताचे पातळी किती आहे, कुठे खताच्या विक्रीसाठी काय पातळी असते?",D1
"गावातील शेतकरी कोणी शेतात काय पिकविता आसा, खय त्याच्या पिकाला काय फायदा होता?","गावातील शेतकरी कोणी शेतात काय पिकवतात, कुठे त्याच्या पिकाला काय फायदे होतात?",D1
"माका कोणी शेतात स्ट्रॉबेरी पिकविता आसा, खय कोणी त्याला विकता?","मला कोणी शेतात स्ट्रॉबेरी पिकवतात, कुठे कोणी त्याला विकते?",D1
"माका गावातील शेतकरी काय पिकविता आसा, खय त्याच्या पिकाला काय फायदा होता?","मला गावातील शेतकरी काय पिकवतात, कुठे त्याच्या पिकाला काय फायदे होतात?",D1
"माका शेतातील पाल्याची किती किंमत आसा, खय त्याच्या विक्रीसाठी काय पातळी असेल?","मला शेतातील पाल्याची किती किंमत आहे, कुठे त्याच्या विक्रीसाठी काय पातळी असते?",D1
"काळे शेंगेच्या बागेत खताची किती गरज आसा, खय माहिती गावता?","काळ्या शेंगेच्या बागेत खताची किती गरज आहे, कुठे माहिती मिळते?",D1
"आंबा पिकावर कीड पडली आसा, खय औषध गावता?","आंब्याच्या पिकावर कीड पडली आहे, कुठे औषध मिळते?",D1
"माका शेतात किती पाणी वापरायचे आसा, खय पंप तुका?","मला शेतात किती पाणी वापरायचे आहे, कुठे पंप मिळते?",D1
"माका शेतात फळांची लागवड कुठे चालली आसा, खय तुका?","मला शेतात फळांची लागवड कुठे चालली आहे, कुठे माहिती?",D1
"माका शेतात कोणत्या पिकांसाठी किती पाणी द्यायचे आसा, खय पंप तुका?","मला शेतात कोणत्या पिकांसाठी किती पाणी द्यायचे आहे, कुठे पंप मिळते?",D1
"माका शेतात मक्याची लागवड केली आसा, वरसून शेतकरी कोणास केली?","मला शेतात मक्याची लागवड केली आहे, वरून शेतकरी कोणास केली?",D1
"जवळच्या गावात खताची भांडवली नसल्याने शेतात कोणती फायदा आसा, खबर ना?","जवळच्या गावात खताची भांडवली नसल्याने शेतात कोणता फायदा आहे, माहिती नाही?",D1
"माका शेतात कांद्याची लागवड केली आसा, खय हायड्रोजन मिळवणारी कोंबडी आसा?","मला शेतात कांद्याची लागवड केली आहे, कुठे हायड्रोजन मिळवणारी कोंबडी आहे?",D1
"तुका शेतात चिंचाची लागवड केली आसा, खय कोणती लागवडीसाठी पाण्याची गरज आसा?","तुला शेतात चिंचाची लागवड केली आहे, कुठे कोणत्या लागवडीसाठी पाण्याची गरज आहे?",D1
"माका शेतात गूळाची लागवड केली आसा, खय शेतात कोणती पिके आसा?","मला शेतात गूळाची लागवड केली आहे, कुठे शेतात कोणती पिके आहेत?",D1
"वाढत्या शेतात कोणती लागवडीसाठी पूर्ण प्रतिसाद केला आसा, खबर ना?","वाढत्या शेतात कोणत्या लागवडीसाठी पूर्ण प्रतिसाद केला आहे, माहिती नाही?",D1
"तुका शेतात मूळाची लागवड केली आसा, खय कोणत्या शेतातील कोणती कागदपत्री आसा?","तुला शेतात मूळाची लागवड केली आहे, कुठे कोणत्या शेतातील कोणती कागदपत्री आहे?",D1
"माका शेतात दाण्याची लागवड केली आसा, खय कोणत्या पिकांसाठी कोणती कागदपत्री आसा?","मला शेतात दाण्याची लागवड केली आहे, कुठे कोणत्या पिकांसाठी कोणती कागदपत्री आहे?",D1
"तुका शेतात बाजरीची लागवड केली आसा, खय कोणत्या शेतातील कोणती शेतकरी आसा?","तुला शेतात बाजरीची लागवड केली आहे, कुठे कोणत्या शेतातील कोणती शेतकरी आहे?",D1
"माका शेतात पिंगोलीची लागवड केली आसा, खय कोणत्या शेतातील कोणती कागदपत्री आसा?","मला शेतात पिंगोलीची लागवड केली आहे, कुठे कोणत्या शेतातील कोणती कागदपत्री आहे?",D1
"माका शेतात तेलबिया पिकावर कुंद्रूची लवण पडली आसा, खय माहिती गावता?","मला शेतात तेलबियाच्या पिकावर कुंद्रूची लवण पडली आहे, कुठे माहिती मिळते?",D1
"माका खताची कितकी गरज आसा, खय तयार करण्याची प्रक्रिया वरसून सांगायची?","मला खताची किती गरज आहे, कुठून तयार करण्याची प्रक्रिया सांगायची?",D1
चेडवा कोळंबई पिकासाठी किती पाणी द्यावे म्हाय?,मुली कोळंबई पिकासाठी किती पाणी द्यावे नाही?,D1
"माका शेतात मिरची पिकावर कीड पडली आसा, खय हिरवेगारी वापरणारची?","मला शेतात मिरचीच्या पिकावर कीड पडली आहे, कुठे हिरवेगारी वापरण्यात येते?",D1
"काजूच्या बागेसाठी खताची कितकी गरज आसा, खय निर्मिती कशी करावी म्हाय?","काजूच्या बागेसाठी खताची किती गरज आहे, निर्मिती कशी करावी नाही?",D1
चेडवा सोयाबीन पिकासाठी किती डाळिंब प्रति हेक्टर द्यावे म्हाय?,मुली सोयाबीन पिकासाठी किती डाळिंब प्रति हेक्टर द्यावे नाही?,D1
"माका शेतात कापूस पिकावर कीड पडली आसा, खय विसर्जनाची तारीख वरसून सांगायची?","मला शेतात कापूस पिकावर कीड पडली आहे, कुठे विसर्जनाची तारीख सांगायची?",D1
"काजूच्या बागेसाठी खताची कितकी गरज आसा, खय फायद्याच्या प्रमाणात वापरणारची?","काजूच्या बागेसाठी खताची किती गरज आहे, फायद्याच्या प्रमाणात वापरण्यात येते?",D1
चेडवा बाजरी पिकासाठी किती पाणी द्यावे म्हाय?,मुली बाजरी पिकासाठी किती पाणी द्यावे नाही?,D1
"माका शेतात पटाणी पिकावर कीड पडली आसा, खय प्रतिसादाची तारीख वरसून सांगायची?","मला शेतात पटाणी पिकावर कीड पडली आहे, कुठे प्रतिसादाची तारीख सांगायची?",D1
"माका कोळी शेतात गायी घालण्याची गरज आसा, खय योग्य गाय मिळता?","मला कोळी शेतात गायी घालण्याची गरज आहे, कुठे योग्य गाय मिळते?",D1
"आंबाच्या बागेत तापमानावर खात्री वरसून आसा, खय काय उपाय म्हाय?","आंब्याच्या बागेत तापमानावर खात्री वरून आहे, कुठे काय उपाय आहेत?",D1
"खरीप वेळी बाजरी पिकावर कोणत्या प्रमाणात खताची गरज आसा, खय काय सावली म्हाय?","खरीप वेळी बाजरीच्या पिकावर किती प्रमाणात खताची गरज आहे, कुठे काय सावली आहेत?",D1
"माका शेतात कुऱ्हाडीची किती गरज आसा, खय कुठला बाजार म्हाय?","मला शेतात कुऱ्हाडीची किती गरज आहे, कुठा बाजार आहे?",D1
"मला शेतात कायसाठी किती पाणी आवश्यक आसा, खय कुठे पाणी म्हाय?","मला शेतात कायसाठी किती पाणी आवश्यक आहे, कुठे पाणी आहे?",D1
"तुका कोळी शेतात बाजरी पिकावर काय केले पाहिजे आसा, खय काय करावे म्हाय?","तुला कोळी शेतात बाजरीच्या पिकावर काय केले पाहिजे, कुठे काय करावे आहे?",D1
"माका शेतात गिर्यांवर काय उपाय केले पाहिजे आसा, खय काय करावे म्हाय?","मला शेतात गिर्यांवर काय उपाय केले पाहिजे, कुठे काय करावे आहे?",D1
"आंबाच्या बागेत सांडण्यात काय विचार केला पाहिजे आसा, खय काय सांडायचे म्हाय?","आंब्याच्या बागेत सांडण्यात काय विचार केला पाहिजे, कुठे काय सांडायचे आहे?",D1
"माका शेतात कोणती बीजे घालण्याची गरज आसा, खय कुठे काय बीजे म्हाय?","मला शेतात कोणती बीजे घालण्याची गरज आहे, कुठे काय बीजे आहेत?",D1
"मला शेतात कोणत्या प्रकारे कीड दूर करावे आसा, खय काय उपाय म्हाय?","मला शेतात कोणत्या प्रकारे कीड दूर करावे, कुठे काय उपाय आहेत?",D1
"माका शेतात मका पिकावर कीड पडली आसा, खय औषध गावता?","मला शेतात मक्याच्या पिकावर कीड पडली आहे, कुठे औषध मिळते?",D1
"माका तुका शेतात बाजरी पिकली आसा, वरसून ती चेडवा पिकवू?","मला तुला शेतात बाजरी पिकली आहे, वरून ती मुली पिकवू?",D1
"माका शेतात पिकासाठी किती पाणी द्यावयचे आसा, खय माहिती गावता?","मला शेतात पिकासाठी किती पाणी द्यावे लागते आहे, कुठे माहिती मिळते?",D1
"माका खताची किती ग्राम साठी चालू आसा, खय माहिती गावता?","मला खताची किती ग्रामसाठी चालू आहे, कुठे माहिती मिळते?",D1
"माका शेतात नावी पिकासाठी कुठले रोपटे चालू आसा, खय माहिती गावता?","मला शेतात नावी पिकासाठी कुठले रोपटे चालू आहे, कुठे माहिती मिळते?",D1
"माका शेतात किती सामान पिकवू शकतो आसा, खय माहिती गावता?","मला शेतात किती सामान पिकवू शकतो आहे, कुठे माहिती मिळते?",D1
"माका शेतात फळसारख्या पिकासाठी कुठले सारखे खत चालू आसा, खय माहिती गावता?","मला शेतात फळसारख्या पिकासाठी कुठले सारखे खत चालू आहे, कुठे माहिती मिळते?",D1
"माका शेतात किती लोकांनी पिके पिकली आसा, खय माहिती गावता?","मला शेतात किती लोकांनी पिके पिकली आहे, कुठे माहिती मिळते?",D1
"माका शेतात नावी पिकासाठी कुठले खत चालू आसा, खय खबर ना?","मला शेतात नावी पिकासाठी कुठले खत चालू आहे, कुठे माहिती नाही?",D1
"माका तुका शेतात किती किंमती भाज्या पिकली आसा, वरसून ती म्हाय मिळेल?","मला तुला शेतात किती किंमती भाज्या पिकली आहे, वरून ती नाही मिळेल?",D1
माका कामोतरी पिकाचे बियाणे तुका खय पुरके गावता?,मला कामोतरी पिकाचे बियाणे तुला कुठे पुरके मिळते?,D1
आसा शेतात कापूस पिकाची कशी देखभाल करावी?,आहे शेतात कापूस पिकाची कशी देखभाल करावी?,D1
केतकी किंवा बाजरी पिका वर किती कालासाठी दूध पुरवावे?,केतकी किंवा बाजरी पिकासाठी किती काळासाठी दूध पुरवावे?,D1
म्हाय शेतात विहिरी कशी बांधावी?,नाही शेतात विहिरी कशी बांधावी?,D1
वरसून येत्या हंगामात पिकावे असेल तर खय काय पिके करावी?,वरून येत्या हंगामात पिकावे असेल तर कुठे काय पिके करावी?,D1
माका शेतात पिके करू नये तर खय काय होते?,मला शेतात पिके करू नये तर कुठे होते?,D1
आसा शेतात फुल्याचा पिका कशी वाढवावी?,आहे शेतात फुल्याचा पिका कशी वाढवावी?,D1
सह्या खताच्या वापराने शेतात पिकांची उत्पादन वाढवणे आसा?,सह्या खताच्या वापराने शेतात पिकांची उत्पादन वाढवणे आहे?,D1
माका शेतात कापसाचे बियाणे तुका खय पुरके होतात काय?,मला शेतात कापसाचे बियाणे तुला कुठे पुरके होतात काय?,D1
खबर ना क्षारांचा वापर शेतात किती दिवसासाठी करावा?,माहिती नाही क्षाराचा वापर शेतात किती दिवसासाठी करावा?,D1
"माका गायी तुका वरसून पाळतात आसा, खय त्यांची खबर ना?","मला गायी तुला पाळतात वरून, आहेत का त्यांची माहिती?",D1
"माका शेतात बुंदी पेरतात आसा, खय त्यांची किती म्हाय?","मला शेतात बुंदी पेरतात आहेत का, नाही त्यांची किती?",D1
"माका खताचा चेडवा देतात आसा, खय त्याची किती आसा?","मला खताची मुली देतात आहेत का, त्याची किती आहे?",D1
"माका शेतात कोळंबी पिकात आसा, खय त्यांची किती म्हाय?","मला शेतात कोळंबीचे पिक आहे का, नाही त्यांची किती?",D1
"माका तेलबिया पिकात आसा, खय त्यांची किती आसा?","मला तेलबिया पिक आहे का, त्यांची किती आहे?",D1
"काजूच्या बागेसाठी खताची कितकी गरज आसा, खय त्याची किती म्हाय?","काजूच्या बागेसाठी खताची किती गरज आहे, नाही त्याची किती?",D1
"माका शेतात मावस पिकात आसा, खय त्यांची किती म्हाय?","मला शेतात मावसचे पिक आहे का, नाही त्यांची किती?",D1
"माका बागेत पाणी पुरवण्याच्या यंत्राची किती गरज आसा, खय त्याची किती म्हाय?","मला बागेत पाणी पुरवण्याच्या यंत्राची किती गरज आहे, नाही त्याची किती?",D1
"माका कुकड्या पिकात आसा, खय त्यांची किती म्हाय?","मला कुकड्या पिक आहे का, नाही त्यांची किती?",D1
"माका शेतात गव्हाची पोळी पिकात आसा, खय त्यांची किती म्हाय?","मला शेतात गव्हाची पोळी पिक आहे का, नाही त्यांची किती?",D1
"माका गवताच्या पिकाचे उत्पादन वरसून किती आसा, खय माहिती ना?","मला गवताच्या पिकाचे उत्पादन वरून किती आहे, कुठे माहिती नाही?",D1
"केतीच्या खताचा उपयोग चेडवा शेतात करायला येतो का, खय?","केतीच्या खताचा उपयोग मुलीला शेतात करायला येतो, कुठे?",D1
"माका तांदळाच्या पिकासाठी कितकी पाणी गरज आसा, खय बाबती?","मला तांदळाच्या पिकासाठी किती पाणी गरज आहे, कुठे बाबती?",D1
"आंबा पिकाच्या संवर्धनासाठी कितकी दाणे पुरवायला हवास?, खय?","आंब्याच्या पिकाच्या संवर्धनासाठी किती दाणे पुरवायला हवे, कुठे?",D1
"माका शेतात निरनिराळ्या फळबागांचे पीक वरसून किती आसा, खय पावले?","मला शेतात निरनिराळ्या फळबागांचे पीक वरून किती आहे, कुठे पावले?",D1
"तुका शेतात जाडसर जडपात्रे कितकी लागती आसा, खय?","तुला शेतात जाडसर जडपात्रे किती लागतात आहे, कुठे?",D1
"काजूच्या बागेत सुरवातीला कितकी खत कार्यक्रम आसा, खय बाबती?","काजूच्या बागेत सुरवातीला किती खत कार्यक्रम आहे, कुठे बाबती?",D1
"माका शेतात चांगले पाणी पुरवायला किती सिंचाई पंप गरज आसा, खय?","मला शेतात चांगले पाणी पुरवायला किती सिंचाई पंप गरज आहे, कुठे?",D1
"माका शेतात जाडसर कासवे कितकी दाम वरसून आसा, खय?","मला शेतात जाडसर कासवे किती दाम वरून आहे, कुठे?",D1
"तुका शेतात विविध प्रकारच्या उभयता पिकांची कितकी संख्या आसा, खय बाबती?","तुला शेतात विविध प्रकारच्या उभयता पिकांची किती संख्या आहे, कुठे बाबती?",D1
"माका शेतात रब्बी मौसमात किती पावसाची गरज आसा, खय माहिती गावता?","मला शेतात रब्बी मौसमात किती पावसाची गरज आहे, कुठे माहिती मिळते?",D1
"काजूच्या बागेसाठी खताची किती गरज आसा, खबर ना खय कुठे माहिती गावता?","काजूच्या बागेसाठी खताची किती गरज आहे, माहिती नाही कुठे माहिती मिळते?",D1
"माका शेतात बागायती शेती सुरू केली आसा, खय त्याची किती फायदा आस?","मला शेतात बागायती शेती सुरू केली आहे, कुठे त्याची फायदा मिळते?",D1
"नारळाच्या बागेसाठी किती पाण्याची गरज आसा, खय माहिती गावता?","नारळाच्या बागेसाठी किती पाण्याची गरज आहे, कुठे माहिती मिळते?",D1
"माका शेतात किती कोटी एकर जोतल्या आसा, खबर ना खय कुठे माहिती गावता?","मला शेतात किती कोटी एकर जोतल्या आहेत, माहिती नाही कुठे माहिती मिळते?",D1
"काजूच्या बागेसाठी किती टॅनकाची गरज आसा, खय त्याचे काय काम आहे?","काजूच्या बागेसाठी किती टॅनकाची गरज आहे, कुठे त्याचे काम माहिती?",D1
"माका शेतात किती पावसाची कमी आसा, खय त्यामुळे काय परिणाम होतात?","मला शेतात किती पावसाची कमी आहे, कुठे त्यामुळे परिणाम माहिती?",D1
"काजूच्या बागेसाठी खताची किती गरज आसा, खय माहिती गावता?","काजूच्या बागेसाठी खताची किती गरज आहे, कुठे माहिती मिळते?",D1
