dialect,divergence_score,wer_percentage,cer_percentage,lexical_diff_ratio,char_edit_distance,dialect_text,standard_text,word_diffs,source_file
D2,262.0,250.0,290.0,250.0,29,मला सणासाठी कमी मुदतीचे कर्ज कोठे मिळेल ?,कोठे मिळेल?,[INS: मला सणासाठी कमी मुदतीचे कर्ज],d2.csv
D2,260.26,250.0,284.21,250.0,49,ट्रॅव्हल चेक पर्यटन कार्यालयना संगे संबंधित शे जे पर्यटन शहरेसमा रास,पर्यटन शहरे आहेत का,[INS: ट्रॅव्हल चेक] [INS: कार्यालयना संगे संबंधित शे जे] [पर्यटन शहरेसमा रास → शहरे आहेत का],d2.csv
D4,230.0,200.0,300.0,200.0,28,रेपसीडले रब्बी हंगामामंदीच काऊन पेरतात ?,कोण पेरतात?,[INS: रेपसीडले रब्बी हंगामामंदीच] [काऊन → कोण],d4.csv
D1,210.48,233.33,157.14,233.33,21,गुगल पे ह्या गुगल ने विकसित केला हा,हे विकसित केले,[INS: गुगल पे ह्या गुगल] [ने → हे] [INS: केला] [हा → केले],d1.csv
D1,189.09,200.0,163.64,200.0,14,क्रेडिट कार्ड कसा वापरूचा ?,कसे वापरावे?,[INS: क्रेडिट कार्ड] [कसा वापरूचा → कसे वापरावे],d1.csv
D4,186.88,200.0,156.25,200.0,16,नरम पोळी येईन अस गवाचं वान कोनचं ?,कोणतं वान वापराव ?,[INS: नरम पोळी येईन अस] [गवाचं → कोणतं] [कोनचं → वापराव],d4.csv
D4,180.71,200.0,135.71,200.0,36,ओव्हर हार्वेस्टिंग म्हणजे ज्या दराने संसाधनांची कापणी टिकाऊ नसते,हार्वेस्टिंगचा दर टिकाऊ नसतो,[INS: ओव्हर हार्वेस्टिंग म्हणजे ज्या दराने] [संसाधनांची कापणी → हार्वेस्टिंगचा दर] [नसते → नसतो],d4.csv
D2,177.5,200.0,125.0,200.0,31,एखांदाना मोबाइलमा गुगल पे नशी ते क्यु आर कोड स्कॅन करीन पैसा धाडता येतस,एका माणसाला गुगलवरून पैसे काढता येतात का?,[INS: एखांदाना मोबाइलमा गुगल पे नशी ते क्यु] [आर कोड स्कॅन करीन पैसा धाडता येतस → एका माणसाला गुगलवरून पैसे काढता येतात का],d2.csv
D2,175.18,214.29,83.93,214.29,27,समुद्रना शेवाळ ना वावर मा शेवाळ ले तेन जीवन चक्र नियंत्रित करी टाकणस हाई तेनमा राहस,"समुद्राच्या लाटांवरूनच जीवनचक्र नियंत्रित होते, असे वाटते.",[INS: समुद्रना शेवाळ ना वावर मा शेवाळ ले] [तेन जीवन चक्र → समुद्राच्या लाटांवरूनच जीवनचक्र] [INS: करी टाकणस] [हाई तेनमा राहस → होते असे वाटते],d2.csv
D2,172.4,200.0,108.0,200.0,21,करनी चोरी करान सरकार भी नजर म्हा गुन्हा समजावस,सरकारला माझा गुन्हा समजतो.,[INS: करनी चोरी करान सरकार भी] [नजर म्हा → सरकारला माझा] [समजावस → समजतो],d2.csv
D4,170.23,175.0,159.09,175.0,24,इजाइच्या कडकडाटाची बतावनी कोनचे मोबाईल ॲप देईन ?,कोणते मोबाइल ऐप द्यावे?,[INS: इजाइच्या कडकडाटाची बतावनी] [कोनचे मोबाईल ॲप देईन → कोणते मोबाइल ऐप द्यावे],d4.csv
D4,165.13,175.0,142.11,175.0,23,रब्बी अस खरीप हंगामात कोनचे पिकं घेता येईन ?,कोणते पीक घेता येईल?,[INS: रब्बी अस खरीप हंगामात] [कोनचे पिकं → कोणते पीक] [येईन → येईल],d4.csv
D1,163.93,175.0,138.1,175.0,20,हरभरा पीक वाढता तेव्हा कश्याचो अडथलो येता ?,कश्याचा अडथळा येता का?,[INS: हरभरा पीक वाढता तेव्हा] [कश्याचो अडथलो → कश्याचा अडथळा] [DEL: का],d1.csv
D2,162.43,180.0,121.43,180.0,20,यवहार खातामझारथून तुमी जडे नै तठे पैसा धाडू शकतस,तुम्ही यातून पैसे मिळवू शकता,[INS: यवहार खातामझारथून तुमी जडे] [नै तठे पैसा धाडू शकतस → तुम्ही यातून पैसे मिळवू शकता],d2.csv
D1,162.06,200.0,73.53,200.0,6,के.वाय.सी करूच्या खातिर कसले कागद लागतले ?,केवायसीसाठी कोणते कागदपत्रे लागतात?,[INS: के वाय सी करूच्या] [खातिर कसले कागद लागतले → केवायसीसाठी कोणते कागदपत्रे लागतात],d1.csv
D4,161.11,200.0,70.37,200.0,14,मोबाईल वर बाजारसमिती चे भाव कशे माईत होईन ?,मोबाईलवर बाजारभाव कसे कळतील?,[INS: मोबाईल वर बाजारसमिती चे] [भाव कशे माईत होईन → मोबाईलवर बाजारभाव कसे कळतील],d4.csv
