id,text_id,dialect,domain,distortion_score,dialect_text,standard_text,verified_clean,audit_reason
876,723742,D4,Banking,19.0,मले आर.टी.जी.एस करासाठी माया मित्राच्या बँकेची कोनची मायती जरुरी हाय ?,आर.टी.जी.एस करासाठी माया मित्राच्या बँकेची कोणती माहिती जरुरी आहे?,True,OK
969,719499,D4,Banking,19.0,अनेक वित्तीय सेवा कंपन्या त्यांच्या बचत उत्पादनांसाठी त्यांचा लोगो म्हणून पिगी बँकांचा वापर करतात,अनेक वित्तीय सेवा कंपन्या त्यांच्या उत्पादनांसाठी त्यांचा लोगो म्हणून पिगी बँकांचा वापर करतात,True,Removed Hindi leakage
1080,723510,D4,Agriculture,18.5,कोनच्या शेतीच्या पद्धतीपायी जास्तीत जास्त उत्पादन घेता येईल ?,कोणाच्या शेतीच्या पद्धतीपायी जास्तीत जास्त उत्पादन घेता येईल?,True,Corrected question syntax
1090,711154,D1,Agriculture,19.0,झाडांच्या मूनात कीड पडाप थामाउच्या खाती आणि किडीक मारूच्याखाती कसला किटकनाशक वापराचा ?,झाडांच्या मुळांमध्ये कीड नियंत्रण आणि किडीमारण्यासाठी कोणते कीटकनाशक वापरावे?,True,Corrected question syntax
1130,717849,D2,Agriculture,19.357,अंडी देणारी कोंबडी व मांस देणारी कोंबडी यात कोणाला जास्त किंमत मिळू शकते ?,अंडी देणारी कोंबडी आणि मांस देणारी कोंबडी यात कोणाला जास्त किंमत मिळू शकते?,True,Corrected question syntax
1166,716530,D2,Agriculture,19.0,मासेमारी चे प्रकार किती आणि कोणते आहे त्याबद्दल महिती द्या ?,मासेमारीचे प्रकार किती आणि कोणते आहेत याबद्दल माहिती द्या?,True,Added question mark
1178,716216,D2,Agriculture,19.0,सर भारत विश्वामध्ये दुसरा सगळ्यात जास्त बटाटे उत्पादन करणारा देश आहे,सर भारत विश्वामध्ये दुसरा सर्वात जास्त बटाटे उत्पादन करणारा देश आहे,True,Pass 2: OK
1341,724224,D4,Banking,18.0,स्कॉलरशिप भेटासाठी मले खात खोलने गरजेचे हाय तर कुणाशी संपर्क करा लागन ?,स्कॉलरशिप मिळवण्यासाठी कोणाशी संपर्क साधावा लागेल?,True,Corrected question syntax
2066,713571,D2,Agriculture,17.5,वावरेस्ना करता आखेल देशन्या योजनास्नं परमुख माहिती केंद्र कोठे शे ?,वावरेसाठी आखलेल्या देशाच्या योजनांची परमुख माहिती केंद्र कोठे आहे?,True,OK
2083,724920,D1,Banking,17.375,"डिजिटल फायनान्शियल सर्व्हिसेस पेमेंट , क्रेडिट , बचत यासह डिजिटल चॅनेलद्वारा प्रवेश आणि वितरित केल्या जातत","डिजिटल फायनान्शियल सर्व्हिसेस पेमेंट, क्रेडिट, सेवा यासह डिजिटल चॅनेलद्वारे प्रवेश आणि वितरण केले जात आहे.",True,OK
