dialect,divergence_score,wer_percentage,cer_percentage,lexical_diff_ratio,char_edit_distance,dialect_text,standard_text,word_diffs,source_file
D1,210.48,233.33,157.14,233.33,21,गुगल पे ह्या गुगल ने विकसित केला हा,हे विकसित केले,[INS: गुगल पे ह्या गुगल] [ने → हे] [INS: केला] [हा → केले],d1.csv
D1,189.09,200.0,163.64,200.0,14,क्रेडिट कार्ड कसा वापरूचा ?,कसे वापरावे?,[INS: क्रेडिट कार्ड] [कसा वापरूचा → कसे वापरावे],d1.csv
D1,163.93,175.0,138.1,175.0,20,हरभरा पीक वाढता तेव्हा कश्याचो अडथलो येता ?,कश्याचा अडथळा येता का?,[INS: हरभरा पीक वाढता तेव्हा] [कश्याचो अडथलो → कश्याचा अडथळा] [DEL: का],d1.csv
D1,162.06,200.0,73.53,200.0,6,के.वाय.सी करूच्या खातिर कसले कागद लागतले ?,केवायसीसाठी कोणते कागदपत्रे लागतात?,[INS: के वाय सी करूच्या] [खातिर कसले कागद लागतले → केवायसीसाठी कोणते कागदपत्रे लागतात],d1.csv
D1,159.59,160.0,158.62,160.0,43,ई कॉमर्स पेमेंट सिस्टम म्हणून ओळखला जाणारा ऑनलाइन पेमेंट सेवा उपलब्ध असा,ऑनलाइन पेमेंट सेवा उपलब्ध आहे,[INS: ई कॉमर्स पेमेंट सिस्टम म्हणून ओळखला जाणारा] [असा → आहे],d1.csv
D1,147.0,150.0,140.0,150.0,17,लीफ कर्ल ह्यो आजार कसो बरो व्हता ?,हे आजार कसे आहे?,[INS: लीफ कर्ल] [ह्यो → हे] [INS: कसो] [बरो व्हता → कसे आहे],d1.csv
D1,142.0,160.0,100.0,160.0,20,वरना पोणारो पाण्यतला रोप असा त्येका मुळा नसतत,पण त्या रोपाचे मुळे नसतात,[INS: वरना पोणारो पाण्यतला] [रोप असा त्येका मुळा नसतत → पण त्या रोपाचे मुळे नसतात],d1.csv
D1,139.64,175.0,57.14,175.0,8,के.वाय.सी मोबाईलातसून करुक गावता काय ?,केवायसी मोबाईलमधून काय मिळते?,[INS: के वाय सी मोबाईलातसून] [करुक गावता → केवायसी मोबाईलमधून] [DEL: मिळते],d1.csv
D1,136.74,157.14,89.13,157.14,21,बातमी समाजली हा कि टाटानी शेयर विकत घेवन मार्केटचो माहोल बदलल्यांनी,बातमीमुळे समाजाचा आणि बाजाराचा माहोल बदलला आहे?,[INS: बातमी समाजली हा कि टाटानी] [शेयर विकत घेवन मार्केटचो → बातमीमुळे समाजाचा आणि बाजाराचा] [बदलल्यांनी → बदलला] [DEL: आहे],d1.csv
D1,133.33,166.67,55.56,166.67,4,के.वाय.सी किदयाक करूची ?,केवायसी कसे करायचे?,[INS: के वाय] [सी किदयाक करूची → केवायसी कसे करायचे],d1.csv
D1,132.27,150.0,90.91,150.0,8,हे बिये लाऊन फायदो कितको जातलो ?,यामुळे किती फायदा झाला?,[INS: हे बिये] [लाऊन फायदो कितको जातलो → यामुळे किती फायदा झाला],d1.csv
D1,131.76,157.14,72.55,157.14,25,"कोईमतूर मेंढी ची जात ही कोईमतूर जिल्ह्यातच गावता , ही जात लोकरीसाठी पाळली जाता",कोयमतूर जिल्ह्यातील मेंढीची जात कोरीसाठी पाळली जाते,[कोईमतूर मेंढी ची → कोयमतूर जिल्ह्यातील मेंढीची] [INS: ही कोईमतूर जिल्ह्यातच गावता ही जात] [लोकरीसाठी → कोरीसाठी] [जाता → जाते],d1.csv
D1,130.5,150.0,85.0,150.0,17,सब्सिडी कर्ज ता कर्ज असा जेच्यावर सब्सिडीन व्याज कमी करतत,सबसिडीमुळे कर्जावरील व्याज कमी केले जाते?,[INS: सब्सिडी कर्ज ता कर्ज असा] [जेच्यावर सब्सिडीन → सबसिडीमुळे कर्जावरील] [करतत → केले] [DEL: जाते],d1.csv
D1,129.56,175.0,23.53,175.0,0,के.वाय.सी साठी कसली कागदपत्र लागतत ?,केवायसीसाठी कोणती कागदपत्रे लागतात?,[INS: के वाय सी] [साठी कसली कागदपत्र लागतत → केवायसीसाठी कोणती कागदपत्रे लागतात],d1.csv
D1,128.91,133.33,118.6,133.33,36,भाज्यांच्या शेतीयेक हॉर्टिकल्चर बोलतत तेच्यात वेगवेगळ्या पद्धतीच्यो भाज्यो घेतत,हॉर्टिकल्चर विविध पद्धतींनी भाज्या घेत आहेत.,[INS: भाज्यांच्या शेतीयेक] [INS: बोलतत] [तेच्यात वेगवेगळ्या पद्धतीच्यो भाज्यो घेतत → विविध पद्धतींनी भाज्या घेत आहेत],d1.csv
D1,126.93,140.0,96.43,140.0,22,आतून लाल रंगाचो दिसनारो पेरू रुचकर असता असा म्हणतत,तिथी पेरू रुचकर असतो म्हणतात,[INS: आतून लाल रंगाचो] [दिसनारो → तिथी] [INS: असता] [असा म्हणतत → असतो म्हणतात],d1.csv
D1,125.7,133.33,107.89,133.33,32,म्या कर्जा मेळाक अर्ज करुच्या साठी पात्र आसा की नसा ह्या माका कसा कळतल ?,मला कर्जा मिळत आहे की नाही हे कसे कळेल?,[म्या → मला] [INS: मेळाक अर्ज करुच्या साठी] [पात्र आसा → मिळत आहे] [INS: नसा] [ह्या माका कसा कळतल → नाही हे कसे कळेल],d1.csv
D1,125.15,133.33,106.06,133.33,29,माझा पहिला जोडखाता आसा त्याका वैयक्तिक करूचा असा ता मी कसा करू ?,माझा पहिला संबंध कसा वैयक्तिक करू?,[INS: जोडखाता] [आसा त्याका → संबंध कसा] [INS: करूचा असा ता मी कसा],d1.csv
D1,125.0,166.67,27.78,166.67,2,के.वाय.सी कशी करायची ?,केवायसी कसे करायचे?,[INS: के वाय] [सी कशी करायची → केवायसी कसे करायचे],d1.csv
D1,123.33,133.33,100.0,133.33,16,तुम्ही स्कूलल्या वरसून खय जातात का?,तुम्ही कुठून जातात?,[INS: स्कूलल्या वरसून] [खय → कुठून] [INS: का],d1_aug.csv
D1,119.29,150.0,47.62,150.0,6,मातीचो पी.एच कसो बदलुक होयो ?,मातीचे पीएच कसे बदलले?,[INS: मातीचो पी] [एच कसो बदलुक होयो → मातीचे पीएच कसे बदलले],d1.csv
D1,119.17,125.0,105.56,125.0,13,मको खयल्या हवामानात चांगलो होता ?,हे हवामान कसे होते?,[INS: मको] [खयल्या हवामानात चांगलो होता → हे हवामान कसे होते],d1.csv
D1,119.05,133.33,85.71,133.33,17,हरभराच्या शेतात खयचा आणि केवढया मापात खत घालुक व्हया ?,हरभऱ्याच्या शेतात खत किती घातले आहे ?,[हरभराच्या → हरभऱ्याच्या] [INS: खयचा आणि केवढया मापात] [घालुक व्हया → किती घातले] [DEL: आहे],d1.csv
D1,118.75,125.0,104.17,125.0,7,हयला हवामान डाळींबाक नीट हा काय ?,डाळींबाचे हवामान कसे आहे?,[हयला → डाळींबाचे] [INS: डाळींबाक नीट] [हा काय → कसे आहे],d1.csv
D1,116.73,120.0,109.09,120.0,14,अजून खय माका काही मार्केट खयल्या आसा?,अजून कुठे मागणी आहे का?,[INS: खय माका] [काही मार्केट खयल्या आसा → कुठे मागणी आहे का],d1_aug.csv
D1,116.0,140.0,60.0,140.0,6,इ.एम.आय मोजुच्यासाठी कितकेतरी ऍप आसत,EMI मोजण्यासाठी किती ॲप्स आहेत?,[INS: इ एम] [आय मोजुच्यासाठी कितकेतरी ऍप आसत → EMI मोजण्यासाठी किती ॲप्स आहेत],d1.csv
D1,116.0,150.0,36.67,150.0,9,ओ.टी.पी इल्यानंतर मी माझो ओ.टी.पी बदललय,ओटीपी नंतर मी माझे ओटीपी बदलले,[INS: ओ टी] [पी इल्यानंतर → ओटीपी नंतर] [INS: माझो ओ] [टी पी बदललय → माझे ओटीपी बदलले],d1.csv
D1,116.0,128.57,86.67,128.57,29,"खय रेशन कार्ड पुन्हा नवीन दाखला द्यावी लागली, माका कोणता नमुना द्यावा लागला?",कुठे रेशन कार्डासाठी कोणता नमुना द्यावा लागेल?,[खय → कुठे] [INS: कार्ड पुन्हा नवीन दाखला द्यावी लागली] [माका → कार्डासाठी] [लागला → लागेल],d1_aug.csv
D1,115.83,133.33,75.0,133.33,13,पोलीस स्टेशनवर खय प्रमाणपत्रासाठी आसा,कुठे प्रमाणपत्रासाठी आहे,[INS: पोलीस स्टेशनवर] [खय → कुठे] [आसा → आहे],d1_aug.csv
D1,114.88,128.57,82.93,128.57,2,काय धोको पन नाय मा ह्या पद्धतीनं पैसे पाठउक ?,या पद्धतीने पैसे पाठविण्याची धोका नाही का?,[INS: काय धोको] [पन नाय मा ह्या पद्धतीनं पैसे पाठउक → या पद्धतीने पैसे पाठविण्याची धोका नाही का],d1.csv
D1,113.75,125.0,87.5,125.0,14,शेतीच्या करण्याचे पध्दती खैचे खैचे आसत ?,शेतीच्या पद्धती काय आहेत?,[INS: करण्याचे पध्दती] [खैचे खैचे आसत → पद्धती काय आहेत],d1.csv
D1,113.68,128.57,78.95,128.57,29,आर्थिक साधनांच्या ठराविक प्रमाणात खरेदी नायतर विक्रीसाठी डेरीव्हेटिव कॉन्ट्रॅक्टस् आसत,खरेदी नाही तर विक्रीसाठी डेरिव्हेटिव्ह कॉन्ट्रॅक्ट्स होते.,[INS: आर्थिक साधनांच्या ठराविक प्रमाणात] [नायतर → नाही] [DEL: तर] [डेरीव्हेटिव कॉन्ट्रॅक्टस् आसत → डेरिव्हेटिव्ह कॉन्ट्रॅक्ट्स होते],d1.csv
D1,113.06,125.0,85.19,125.0,21,खयचाय काम चलाच्यासाठी खेळत्या भांडवलाची गरज आसता,कामासाठी भांडवलाची गरज असते,[INS: खयचाय काम चलाच्यासाठी] [खेळत्या → कामासाठी] [आसता → असते],d1.csv
D1,112.5,125.0,83.33,125.0,12,रमेशचो बारीक लोकर बनवुचो व्यवसाय असा,रमेशाचा छोटा व्यवसाय आहे.,[INS: रमेशचो बारीक] [लोकर बनवुचो → रमेशाचा छोटा] [असा → आहे],d1.csv
D1,112.28,125.0,82.61,125.0,6,मातीयेचे खैचे खैचे प्रकार आसत ?,मातीचे प्रकार किती आहेत?,[INS: मातीयेचे खैचे] [खैचे → मातीचे] [आसत → किती] [DEL: आहेत],d1.csv
D1,110.25,120.0,87.5,120.0,3,कितकोसो वेळ लागत निधी हस्तांतरण हौक ?,निधी हस्तांतरणाला किती वेळ लागतो?,[INS: कितकोसो] [वेळ लागत निधी हस्तांतरण हौक → निधी हस्तांतरणाला किती वेळ लागतो],d1.csv
D1,110.0,120.0,86.67,120.0,1,मुदत किती मेळता कर्ज फेड करून ?,कर्ज फेडण्यासाठी किती मुदत आहे?,[INS: मुदत] [किती मेळता कर्ज फेड करून → कर्ज फेडण्यासाठी किती मुदत आहे],d1.csv
D1,109.55,133.33,54.05,133.33,8,आमी फोनवरसून गुगल पे मधून खयचाव बिल भरुक शकतव,आम्ही फोनवरून गुगलद्वारे बिल भरू शकतो,[INS: आमी फोनवरसून गुगल] [पे मधून खयचाव → आम्ही फोनवरून गुगलद्वारे] [भरुक शकतव → भरू शकतो],d1.csv
D1,109.49,133.33,53.85,133.33,10,सावकार येक निश्चित व्याज दर ठरवता जा तुमका कर्ज घेतलेल्या पैशावर भरुचा असता,एक निश्चित व्याजदर ठरवल्यास तुमच्या कर्जाच्या पैशांवर शुल्क लागते.,[INS: सावकार] [येक → एक] [INS: व्याज दर ठरवता] [जा तुमका कर्ज घेतलेल्या पैशावर भरुचा असता → व्याजदर ठरवल्यास तुमच्या कर्जाच्या पैशांवर शुल्क लागते],d1.csv
D1,108.47,140.0,34.88,140.0,4,बँक वाले तुझ्याकडना तुजो फोटो पण मागतले,बँकवाल्यांनी तुझ्याकडून तुझे फोटोही मागितले.,[INS: बँक वाले] [तुझ्याकडना तुजो फोटो पण मागतले → बँकवाल्यांनी तुझ्याकडून तुझे फोटोही मागितले],d1.csv
D1,108.33,133.33,50.0,133.33,3,डॉक्टर मटकीक नासिक पण बोलतत,डॉक्टर नासिकमध्ये बोलतात,[INS: मटकीक नासिक] [पण बोलतत → नासिकमध्ये बोलतात],d1.csv
D1,107.9,125.0,68.0,125.0,8,कर्ज काडूच्या साठी काय करुचा पडता ?,कर्जासाठी काय करावे लागेल?,[INS: कर्ज काडूच्या] [साठी → कर्जासाठी] [करुचा पडता → करावे लागेल],d1.csv
D1,107.8,116.67,87.1,116.67,7,सगळ्या मातीयेत सगळी रोपा लावू शकना नाय,सर्व रोपे मातीत लावता येत नाहीत,[INS: सगळ्या] [मातीयेत सगळी रोपा लावू शकना नाय → सर्व रोपे मातीत लावता येत नाहीत],d1.csv
D1,107.79,120.0,79.31,120.0,2,किती वर्षे लागतली कर्ज फेड होऊक ?,कर्ज फेडायला किती वर्षे लागली?,[INS: किती] [वर्षे लागतली कर्ज फेड होऊक → कर्ज फेडायला किती वर्षे लागली],d1.csv
